2026-05-04 14:36:41 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (svm_rbf, classification): auc_roc=0.6019, pr_auc=0.8430, f1=0.7518
2026-05-04 14:36:41 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (svm_rbf, classification): auc_roc=0.5922, pr_auc=0.8520, f1=0.6884
2026-05-04 14:36:43 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=svm_rbf target=roi_gt_1 OOF=auc_roc=0.6049, f1=0.7308, pr_auc=0.8462 inner_best_params={'model__C': 1, 'model__gamma': 0.01}
2026-05-04 14:36:43 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=svm_rbf target=roi_gt_2 task=classification
2026-05-04 14:36:43 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=svm_rbf task=classification X.shape=(1460, 92)
2026-05-04 14:36:46 | INFO    | src.models.phase4.cv | Inner CV best: family=svm_rbf task=classification score=0.5910 params={'model__C': 10, 'model__gamma': 0.003}
2026-05-04 14:36:46 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=svm_rbf task=classification
2026-05-04 14:36:46 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (svm_rbf, classification): auc_roc=0.5956, pr_auc=0.6868, f1=0.5732
2026-05-04 14:36:46 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (svm_rbf, classification): auc_roc=0.5662, pr_auc=0.6963, f1=0.6100
2026-05-04 14:36:46 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (svm_rbf, classification): auc_roc=0.5364, pr_auc=0.6771, f1=0.5662
2026-05-04 14:36:46 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (svm_rbf, classification): auc_roc=0.6931, pr_auc=0.7894, f1=0.6767
2026-05-04 14:36:46 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (svm_rbf, classification): auc_roc=0.5635, pr_auc=0.6668, f1=0.5994
2026-05-04 14:36:46 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (svm_rbf, classification): auc_roc=0.5496, pr_auc=0.6805, f1=0.5687
