2026-05-04 02:12:21 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.5703, pr_auc=0.8319, log_loss=0.6706, f1=0.6826
2026-05-04 02:12:21 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.6070, pr_auc=0.8572, log_loss=0.6542, f1=0.7390
2026-05-04 02:12:22 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.5982, pr_auc=0.8386, log_loss=0.6576, f1=0.7500
2026-05-04 02:12:24 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=histgb target=roi_gt_1 OOF=auc_roc=0.5731, f1=0.7688, log_loss=0.6427, pr_auc=0.8399 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__min_samples_leaf': 20}
2026-05-04 02:12:24 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=histgb target=roi_gt_2 task=classification
2026-05-04 02:12:24 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=histgb task=classification X.shape=(1199, 127)
2026-05-04 02:12:28 | INFO    | src.models.phase4.cv | Inner CV best: family=histgb task=classification score=0.5883 params={'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__min_samples_leaf': 40}
2026-05-04 02:12:28 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=histgb task=classification
2026-05-04 02:12:28 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (histgb, classification): auc_roc=0.5466, pr_auc=0.6773, log_loss=0.6945, f1=0.5725
2026-05-04 02:12:28 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (histgb, classification): auc_roc=0.5933, pr_auc=0.7146, log_loss=0.6733, f1=0.6431
2026-05-04 02:12:28 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (histgb, classification): auc_roc=0.5957, pr_auc=0.7352, log_loss=0.6684, f1=0.7003
2026-05-04 02:12:29 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (histgb, classification): auc_roc=0.6212, pr_auc=0.7244, log_loss=0.6689, f1=0.6357
2026-05-04 02:12:29 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (histgb, classification): auc_roc=0.5850, pr_auc=0.7239, log_loss=0.6785, f1=0.6667
2026-05-04 02:12:29 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (histgb, classification): auc_roc=0.5984, pr_auc=0.7400, log_loss=0.6669, f1=0.6528
2026-05-04 02:12:29 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (histgb, classification): auc_roc=0.6083, pr_auc=0.7289, log_loss=0.6683, f1=0.6364
2026-05-04 02:12:30 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (histgb, classification): auc_roc=0.5701, pr_auc=0.7060, log_loss=0.6735, f1=0.5788
2026-05-04 02:12:30 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (histgb, classification): auc_roc=0.5649, pr_auc=0.7176, log_loss=0.6745, f1=0.6305
2026-05-04 02:12:30 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (histgb, classification): auc_roc=0.5285, pr_auc=0.6721, log_loss=0.6934, f1=0.5455
2026-05-04 02:12:30 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (histgb, classification): auc_roc=0.5653, pr_auc=0.6987, log_loss=0.6780, f1=0.6469
2026-05-04 02:12:30 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (histgb, classification): auc_roc=0.5677, pr_auc=0.6938, log_loss=0.6810, f1=0.6508
2026-05-04 02:12:30 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.5872, pr_auc=0.7132, log_loss=0.6707, f1=0.6298
2026-05-04 02:12:31 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.6116, pr_auc=0.7372, log_loss=0.6547, f1=0.6644
2026-05-04 02:12:31 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.5862, pr_auc=0.6915, log_loss=0.6768, f1=0.6847
2026-05-04 02:12:33 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=histgb target=roi_gt_2 OOF=auc_roc=0.5977, f1=0.6511, log_loss=0.6693, pr_auc=0.7189 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__min_samples_leaf': 40}
2026-05-04 02:12:33 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=all_five_histgb dir=runs/phase_4/20260504_0212_all_five_histgb
