2026-05-04 02:26:24 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (svm_rbf, classification): auc_roc=0.5381, pr_auc=0.8468, f1=0.7200
2026-05-04 02:26:24 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (svm_rbf, classification): auc_roc=0.6077, pr_auc=0.8693, f1=0.7283
2026-05-04 02:26:26 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=svm_rbf target=roi_gt_1 OOF=auc_roc=0.6026, f1=0.7618, pr_auc=0.8634 inner_best_params={'model__C': 10, 'model__gamma': 0.003}
2026-05-04 02:26:26 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=svm_rbf target=roi_gt_2 task=classification
2026-05-04 02:26:26 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=svm_rbf task=classification X.shape=(1199, 92)
2026-05-04 02:26:28 | INFO    | src.models.phase4.cv | Inner CV best: family=svm_rbf task=classification score=0.6347 params={'model__C': 30, 'model__gamma': 0.001}
2026-05-04 02:26:28 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=svm_rbf task=classification
2026-05-04 02:26:28 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (svm_rbf, classification): auc_roc=0.6471, pr_auc=0.7494, f1=0.6783
2026-05-04 02:26:28 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (svm_rbf, classification): auc_roc=0.5814, pr_auc=0.7133, f1=0.6573
2026-05-04 02:26:28 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (svm_rbf, classification): auc_roc=0.6859, pr_auc=0.8162, f1=0.6545
2026-05-04 02:26:28 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (svm_rbf, classification): auc_roc=0.6568, pr_auc=0.7687, f1=0.6473
2026-05-04 02:26:28 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (svm_rbf, classification): auc_roc=0.6022, pr_auc=0.7183, f1=0.6690
2026-05-04 02:26:28 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (svm_rbf, classification): auc_roc=0.6134, pr_auc=0.7537, f1=0.6505
2026-05-04 02:26:28 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (svm_rbf, classification): auc_roc=0.6468, pr_auc=0.7708, f1=0.6569
2026-05-04 02:26:28 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (svm_rbf, classification): auc_roc=0.6533, pr_auc=0.7615, f1=0.6713
2026-05-04 02:26:28 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (svm_rbf, classification): auc_roc=0.5989, pr_auc=0.7245, f1=0.6308
2026-05-04 02:26:28 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (svm_rbf, classification): auc_roc=0.6160, pr_auc=0.7503, f1=0.6714
2026-05-04 02:26:28 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (svm_rbf, classification): auc_roc=0.6238, pr_auc=0.7563, f1=0.6154
2026-05-04 02:26:28 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (svm_rbf, classification): auc_roc=0.5961, pr_auc=0.7138, f1=0.6735
2026-05-04 02:26:29 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (svm_rbf, classification): auc_roc=0.6388, pr_auc=0.7678, f1=0.6500
2026-05-04 02:26:29 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (svm_rbf, classification): auc_roc=0.6731, pr_auc=0.7611, f1=0.7322
2026-05-04 02:26:29 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (svm_rbf, classification): auc_roc=0.5744, pr_auc=0.7170, f1=0.6553
2026-05-04 02:26:30 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=svm_rbf target=roi_gt_2 OOF=auc_roc=0.6346, f1=0.6728, pr_auc=0.7506 inner_best_params={'model__C': 30, 'model__gamma': 0.001}
2026-05-04 02:26:30 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=standalone_positive_union_svm_rbf dir=runs/phase_4/20260504_0226_standalone_positive_union_svm_rbf
