2026-05-03 23:36:34 | INFO    | src.experiments.save_run | Run started: phase=phase_4 name=all_five_linear dir=runs/phase_4/20260503_2336_all_five_linear
2026-05-03 23:36:34 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=linear target=roi_gt_2 task=classification
2026-05-03 23:36:34 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1199, 127)
2026-05-03 23:36:37 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.6070 params={'model__C': 0.1}
2026-05-03 23:36:37 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, classification): auc_roc=0.6017, pr_auc=0.7237, log_loss=0.6893, f1=0.6690
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, classification): auc_roc=0.5668, pr_auc=0.6989, log_loss=0.7460, f1=0.6224
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, classification): auc_roc=0.6461, pr_auc=0.7852, log_loss=0.6606, f1=0.6597
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, classification): auc_roc=0.6201, pr_auc=0.7419, log_loss=0.6907, f1=0.6406
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, classification): auc_roc=0.6005, pr_auc=0.7179, log_loss=0.7349, f1=0.6411
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, classification): auc_roc=0.5980, pr_auc=0.7325, log_loss=0.7173, f1=0.6804
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, classification): auc_roc=0.6442, pr_auc=0.7744, log_loss=0.7117, f1=0.6595
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, classification): auc_roc=0.6156, pr_auc=0.7373, log_loss=0.6751, f1=0.6479
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, classification): auc_roc=0.5811, pr_auc=0.7098, log_loss=0.7199, f1=0.6197
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, classification): auc_roc=0.5992, pr_auc=0.7260, log_loss=0.6979, f1=0.6263
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, classification): auc_roc=0.5970, pr_auc=0.7062, log_loss=0.7240, f1=0.6598
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, classification): auc_roc=0.5563, pr_auc=0.6860, log_loss=0.7303, f1=0.6351
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, classification): auc_roc=0.6073, pr_auc=0.7343, log_loss=0.6952, f1=0.6081
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, classification): auc_roc=0.6241, pr_auc=0.7435, log_loss=0.7261, f1=0.6667
2026-05-03 23:36:37 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, classification): auc_roc=0.5509, pr_auc=0.7098, log_loss=0.7344, f1=0.6301
2026-05-03 23:36:39 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=linear target=roi_gt_2 OOF=auc_roc=0.6043, f1=0.6484, log_loss=0.6946, pr_auc=0.7272 inner_best_params={'model__C': 0.1}
2026-05-03 23:36:39 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=all_five_linear dir=runs/phase_4/20260503_2336_all_five_linear
