2026-05-04 14:48:14 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (svm_rbf, classification): auc_roc=0.5867, pr_auc=0.8359, f1=0.7910
2026-05-04 14:48:14 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (svm_rbf, classification): auc_roc=0.6090, pr_auc=0.8511, f1=0.7624
2026-05-04 14:48:16 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=svm_rbf target=roi_gt_1 OOF=auc_roc=0.5992, f1=0.7819, pr_auc=0.8426 inner_best_params={'model__C': 10, 'model__gamma': 0.003}
2026-05-04 14:48:16 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five_mpnet family=svm_rbf target=roi_gt_2 task=classification
2026-05-04 14:48:16 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=svm_rbf task=classification X.shape=(1460, 127)
2026-05-04 14:48:19 | INFO    | src.models.phase4.cv | Inner CV best: family=svm_rbf task=classification score=0.5810 params={'model__C': 30, 'model__gamma': 0.001}
2026-05-04 14:48:19 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=svm_rbf task=classification
2026-05-04 14:48:19 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (svm_rbf, classification): auc_roc=0.5801, pr_auc=0.6898, f1=0.5615
2026-05-04 14:48:20 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (svm_rbf, classification): auc_roc=0.5679, pr_auc=0.6722, f1=0.6294
2026-05-04 14:48:20 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (svm_rbf, classification): auc_roc=0.5522, pr_auc=0.6896, f1=0.6071
2026-05-04 14:48:20 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (svm_rbf, classification): auc_roc=0.6257, pr_auc=0.7209, f1=0.6590
2026-05-04 14:48:20 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (svm_rbf, classification): auc_roc=0.5793, pr_auc=0.6860, f1=0.5872
2026-05-04 14:48:20 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (svm_rbf, classification): auc_roc=0.5386, pr_auc=0.6821, f1=0.5785
2026-05-04 14:48:20 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (svm_rbf, classification): auc_roc=0.5709, pr_auc=0.6801, f1=0.6629
2026-05-04 14:48:20 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (svm_rbf, classification): auc_roc=0.5914, pr_auc=0.7053, f1=0.6068
2026-05-04 14:48:20 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (svm_rbf, classification): auc_roc=0.5369, pr_auc=0.6565, f1=0.5928
2026-05-04 14:48:20 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (svm_rbf, classification): auc_roc=0.5757, pr_auc=0.6721, f1=0.5659
2026-05-04 14:48:21 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (svm_rbf, classification): auc_roc=0.5794, pr_auc=0.6996, f1=0.5982
2026-05-04 14:48:21 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (svm_rbf, classification): auc_roc=0.5679, pr_auc=0.6616, f1=0.6149
2026-05-04 14:48:21 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (svm_rbf, classification): auc_roc=0.5890, pr_auc=0.6948, f1=0.6103
2026-05-04 14:48:21 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (svm_rbf, classification): auc_roc=0.6418, pr_auc=0.7392, f1=0.6725
2026-05-04 14:48:21 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (svm_rbf, classification): auc_roc=0.5377, pr_auc=0.6664, f1=0.6264
2026-05-04 14:48:23 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=svm_rbf target=roi_gt_2 OOF=auc_roc=0.5790, f1=0.6168, pr_auc=0.6862 inner_best_params={'model__C': 30, 'model__gamma': 0.001}
2026-05-04 14:48:23 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=all_five_mpnet_svm_rbf dir=runs/phase_4_v2/20260504_1448_all_five_mpnet_svm_rbf
