2026-05-04 14:18:06 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.5873, pr_auc=0.8237, log_loss=0.6740, f1=0.7160
2026-05-04 14:18:06 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.6560, pr_auc=0.8492, log_loss=0.6675, f1=0.7500
2026-05-04 14:18:06 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.5835, pr_auc=0.8509, log_loss=0.6682, f1=0.6995
2026-05-04 14:18:09 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=histgb target=roi_gt_1 OOF=auc_roc=0.6151, f1=0.7359, log_loss=0.6650, pr_auc=0.8423 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 4, 'model__min_samples_leaf': 80}
2026-05-04 14:18:09 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=histgb target=roi_gt_2 task=classification
2026-05-04 14:18:09 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=histgb task=classification X.shape=(1460, 127)
2026-05-04 14:18:12 | INFO    | src.models.phase4.cv | Inner CV best: family=histgb task=classification score=0.5861 params={'model__learning_rate': 0.01, 'model__max_depth': 4, 'model__min_samples_leaf': 20}
2026-05-04 14:18:12 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=histgb task=classification
2026-05-04 14:18:12 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (histgb, classification): auc_roc=0.5702, pr_auc=0.6990, log_loss=0.6895, f1=0.5963
2026-05-04 14:18:12 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (histgb, classification): auc_roc=0.6068, pr_auc=0.6994, log_loss=0.6763, f1=0.6303
2026-05-04 14:18:13 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (histgb, classification): auc_roc=0.5347, pr_auc=0.6798, log_loss=0.6806, f1=0.6092
2026-05-04 14:18:13 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (histgb, classification): auc_roc=0.6096, pr_auc=0.7098, log_loss=0.6858, f1=0.4820
2026-05-04 14:18:14 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (histgb, classification): auc_roc=0.6091, pr_auc=0.7030, log_loss=0.6736, f1=0.6280
2026-05-04 14:18:15 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (histgb, classification): auc_roc=0.5272, pr_auc=0.6767, log_loss=0.6935, f1=0.5455
2026-05-04 14:18:15 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (histgb, classification): auc_roc=0.6366, pr_auc=0.7653, log_loss=0.6763, f1=0.6509
2026-05-04 14:18:15 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (histgb, classification): auc_roc=0.6101, pr_auc=0.7026, log_loss=0.6805, f1=0.6303
2026-05-04 14:18:15 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (histgb, classification): auc_roc=0.5711, pr_auc=0.6714, log_loss=0.6847, f1=0.5651
2026-05-04 14:18:16 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (histgb, classification): auc_roc=0.5431, pr_auc=0.6818, log_loss=0.6891, f1=0.5767
2026-05-04 14:18:16 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (histgb, classification): auc_roc=0.6191, pr_auc=0.7194, log_loss=0.6771, f1=0.6706
2026-05-04 14:18:16 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (histgb, classification): auc_roc=0.5918, pr_auc=0.7031, log_loss=0.6741, f1=0.6082
2026-05-04 14:18:16 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.5975, pr_auc=0.7326, log_loss=0.6699, f1=0.5517
2026-05-04 14:18:17 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.5832, pr_auc=0.7119, log_loss=0.6836, f1=0.4312
2026-05-04 14:18:17 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.5473, pr_auc=0.6687, log_loss=0.6835, f1=0.6000
2026-05-04 14:18:19 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=histgb target=roi_gt_2 OOF=auc_roc=0.5901, f1=0.5987, log_loss=0.6788, pr_auc=0.6976 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 4, 'model__min_samples_leaf': 20}
2026-05-04 14:18:19 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=all_five_histgb dir=runs/phase_4_v2/20260504_1417_all_five_histgb
