2026-05-04 01:52:21 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (random_forest, classification): auc_roc=0.6203, pr_auc=0.8666, log_loss=0.4768, f1=0.8940
2026-05-04 01:52:23 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (random_forest, classification): auc_roc=0.6034, pr_auc=0.8638, log_loss=0.4779, f1=0.8961
2026-05-04 01:52:24 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (random_forest, classification): auc_roc=0.6458, pr_auc=0.8837, log_loss=0.4621, f1=0.8961
2026-05-04 01:52:28 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=random_forest target=roi_gt_1 OOF=auc_roc=0.6234, f1=0.8942, log_loss=0.4730, pr_auc=0.8718 inner_best_params={'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}
2026-05-04 01:52:28 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=random_forest target=roi_gt_2 task=classification
2026-05-04 01:52:28 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=random_forest task=classification X.shape=(1199, 92)
2026-05-04 01:52:40 | INFO    | src.models.phase4.cv | Inner CV best: family=random_forest task=classification score=0.6402 params={'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}
2026-05-04 01:52:40 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=random_forest task=classification
2026-05-04 01:52:41 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (random_forest, classification): auc_roc=0.6587, pr_auc=0.7512, log_loss=0.6273, f1=0.8011
2026-05-04 01:52:42 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (random_forest, classification): auc_roc=0.5915, pr_auc=0.7244, log_loss=0.6389, f1=0.7696
2026-05-04 01:52:44 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (random_forest, classification): auc_roc=0.6720, pr_auc=0.7873, log_loss=0.6168, f1=0.7828
2026-05-04 01:52:45 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (random_forest, classification): auc_roc=0.6563, pr_auc=0.7563, log_loss=0.6173, f1=0.8011
2026-05-04 01:52:46 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (random_forest, classification): auc_roc=0.6222, pr_auc=0.7787, log_loss=0.6310, f1=0.7535
2026-05-04 01:52:48 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (random_forest, classification): auc_roc=0.5898, pr_auc=0.7364, log_loss=0.6486, f1=0.7547
2026-05-04 01:52:49 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (random_forest, classification): auc_roc=0.6571, pr_auc=0.7539, log_loss=0.6250, f1=0.7757
2026-05-04 01:52:50 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (random_forest, classification): auc_roc=0.6764, pr_auc=0.7952, log_loss=0.6098, f1=0.7882
2026-05-04 01:52:52 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (random_forest, classification): auc_roc=0.6018, pr_auc=0.7307, log_loss=0.6347, f1=0.7798
2026-05-04 01:52:53 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (random_forest, classification): auc_roc=0.6402, pr_auc=0.7704, log_loss=0.6244, f1=0.7726
2026-05-04 01:52:54 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (random_forest, classification): auc_roc=0.5957, pr_auc=0.7340, log_loss=0.6444, f1=0.7713
2026-05-04 01:52:56 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (random_forest, classification): auc_roc=0.6161, pr_auc=0.7476, log_loss=0.6330, f1=0.7742
2026-05-04 01:52:57 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (random_forest, classification): auc_roc=0.6512, pr_auc=0.7831, log_loss=0.6174, f1=0.7937
2026-05-04 01:52:59 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (random_forest, classification): auc_roc=0.6621, pr_auc=0.7812, log_loss=0.6175, f1=0.7817
2026-05-04 01:53:00 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (random_forest, classification): auc_roc=0.6072, pr_auc=0.7292, log_loss=0.6326, f1=0.7847
2026-05-04 01:53:03 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=random_forest target=roi_gt_2 OOF=auc_roc=0.6394, f1=0.7816, log_loss=0.6263, pr_auc=0.7591 inner_best_params={'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}
2026-05-04 01:53:03 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=standalone_positive_union_mpnet_random_forest dir=runs/phase_4/20260504_0148_standalone_positive_union_mpnet_random_forest
