2026-05-03 20:47:55 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | knn | oof   | log_roi | cvrmse = 1.0097 [CI 0.9368, 1.0862]
2026-05-03 20:47:58 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | knn | oof   | roi_gt_1 | auc_roc = 0.5648 [CI 0.5246, 0.6050]
2026-05-03 20:47:58 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | knn | oof   | roi_gt_1 | pr_auc = 0.8411 [CI 0.8158, 0.8688]
2026-05-03 20:47:58 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | knn | oof   | roi_gt_1 | log_loss = 0.5790 [CI 0.4850, 0.6850]
2026-05-03 20:47:58 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | knn | oof   | roi_gt_1 | f1 = 0.8934 [CI 0.8800, 0.9080]
2026-05-03 20:48:02 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | knn | oof   | roi_gt_2 | auc_roc = 0.6002 [CI 0.5657, 0.6323]
2026-05-03 20:48:02 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | knn | oof   | roi_gt_2 | pr_auc = 0.7324 [CI 0.6978, 0.7673]
2026-05-03 20:48:02 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | knn | oof   | roi_gt_2 | log_loss = 0.6396 [CI 0.6197, 0.6578]
2026-05-03 20:48:02 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | knn | oof   | roi_gt_2 | f1 = 0.7518 [CI 0.7306, 0.7740]
2026-05-03 20:48:02 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | svm | train | log_roi | mse = 1.2425
2026-05-03 20:48:02 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | svm | train | log_roi | rmse = 1.1147
2026-05-03 20:48:02 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | svm | train | log_roi | mae = 0.6647
2026-05-03 20:48:02 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | svm | train | log_roi | cvrmse = 0.8273
2026-05-03 20:48:03 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | svm | oof   | log_roi | mse = 1.7748 [CI 1.4591, 2.1558]
2026-05-03 20:48:03 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | svm | oof   | log_roi | rmse = 1.3322 [CI 1.2079, 1.4683]
2026-05-03 20:48:03 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | svm | oof   | log_roi | mae = 0.9319 [CI 0.8806, 0.9836]
2026-05-03 20:48:03 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | svm | oof   | log_roi | cvrmse = 0.9887 [CI 0.9099, 1.0720]
2026-05-03 20:48:06 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | svm | oof   | roi_gt_1 | auc_roc = 0.5602 [CI 0.5186, 0.6001]
2026-05-03 20:48:06 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | svm | oof   | roi_gt_1 | pr_auc = 0.8478 [CI 0.8225, 0.8747]
2026-05-03 20:48:06 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | svm | oof   | roi_gt_1 | f1 = 0.8934 [CI 0.8800, 0.9080]
2026-05-03 20:48:09 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | svm | oof   | roi_gt_2 | auc_roc = 0.6023 [CI 0.5694, 0.6349]
2026-05-03 20:48:09 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | svm | oof   | roi_gt_2 | pr_auc = 0.7286 [CI 0.6947, 0.7650]
2026-05-03 20:48:09 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | svm | oof   | roi_gt_2 | f1 = 0.7819 [CI 0.7621, 0.8035]
2026-05-03 20:48:09 | INFO    | __main__ | Ablation table written: 480 rows total
2026-05-03 20:48:09 | INFO    | src.experiments.save_run | Run finished: phase=phase_3 name=embedding_multifamily dir=runs/phase_3/20260503_2047_embedding_multifamily
