2026-05-04 01:41:28 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.5834, pr_auc=0.8420, log_loss=0.6260, f1=0.7890
2026-05-04 01:41:28 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.5722, pr_auc=0.8193, log_loss=0.6691, f1=0.7564
2026-05-04 01:41:28 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.6554, pr_auc=0.8785, log_loss=0.6126, f1=0.7831
2026-05-04 01:41:30 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=histgb target=roi_gt_1 OOF=auc_roc=0.5977, f1=0.7844, log_loss=0.6341, pr_auc=0.8532 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__min_samples_leaf': 40}
2026-05-04 01:41:30 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five_mpnet family=histgb target=roi_gt_2 task=classification
2026-05-04 01:41:30 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=histgb task=classification X.shape=(1199, 127)
2026-05-04 01:41:35 | INFO    | src.models.phase4.cv | Inner CV best: family=histgb task=classification score=0.6205 params={'model__learning_rate': 0.01, 'model__max_depth': 4, 'model__min_samples_leaf': 40}
2026-05-04 01:41:35 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=histgb task=classification
2026-05-04 01:41:35 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (histgb, classification): auc_roc=0.5741, pr_auc=0.7025, log_loss=0.6829, f1=0.5585
2026-05-04 01:41:36 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (histgb, classification): auc_roc=0.6429, pr_auc=0.7284, log_loss=0.6587, f1=0.7248
2026-05-04 01:41:36 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (histgb, classification): auc_roc=0.6394, pr_auc=0.7527, log_loss=0.6715, f1=0.6894
2026-05-04 01:41:37 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (histgb, classification): auc_roc=0.6379, pr_auc=0.7384, log_loss=0.6705, f1=0.6739
2026-05-04 01:41:38 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (histgb, classification): auc_roc=0.6084, pr_auc=0.7250, log_loss=0.6655, f1=0.6575
2026-05-04 01:41:38 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (histgb, classification): auc_roc=0.5929, pr_auc=0.7315, log_loss=0.6660, f1=0.6689
2026-05-04 01:41:39 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (histgb, classification): auc_roc=0.6247, pr_auc=0.7428, log_loss=0.6676, f1=0.6454
2026-05-04 01:41:40 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (histgb, classification): auc_roc=0.5982, pr_auc=0.7336, log_loss=0.6645, f1=0.6000
2026-05-04 01:41:40 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (histgb, classification): auc_roc=0.5690, pr_auc=0.7216, log_loss=0.6894, f1=0.6182
2026-05-04 01:41:40 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (histgb, classification): auc_roc=0.5726, pr_auc=0.6976, log_loss=0.6822, f1=0.6127
2026-05-04 01:41:40 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (histgb, classification): auc_roc=0.6055, pr_auc=0.7194, log_loss=0.6764, f1=0.6779
2026-05-04 01:41:41 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (histgb, classification): auc_roc=0.6080, pr_auc=0.7325, log_loss=0.6724, f1=0.6621
2026-05-04 01:41:41 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.5700, pr_auc=0.7051, log_loss=0.6769, f1=0.5806
2026-05-04 01:41:42 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.6142, pr_auc=0.7403, log_loss=0.6597, f1=0.6758
2026-05-04 01:41:42 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.5646, pr_auc=0.7111, log_loss=0.6786, f1=0.6219
2026-05-04 01:41:45 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=histgb target=roi_gt_2 OOF=auc_roc=0.6219, f1=0.6630, log_loss=0.6687, pr_auc=0.7324 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 4, 'model__min_samples_leaf': 40}
2026-05-04 01:41:45 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=all_five_mpnet_histgb dir=runs/phase_4/20260504_0141_all_five_mpnet_histgb
