2026-05-04 14:52:16 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (xgboost, classification): auc_roc=0.6083, pr_auc=0.8370, log_loss=0.5664, f1=0.8351
2026-05-04 14:52:18 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (xgboost, classification): auc_roc=0.6210, pr_auc=0.8486, log_loss=0.5473, f1=0.8465
2026-05-04 14:52:19 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (xgboost, classification): auc_roc=0.5934, pr_auc=0.8319, log_loss=0.5697, f1=0.8369
2026-05-04 14:52:21 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (xgboost, classification): auc_roc=0.5544, pr_auc=0.8129, log_loss=0.5939, f1=0.8121
2026-05-04 14:52:25 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=xgboost target=roi_gt_1 OOF=auc_roc=0.6099, f1=0.8397, log_loss=0.5594, pr_auc=0.8408 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__reg_lambda': 1.0}
2026-05-04 14:52:25 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five_mpnet family=xgboost target=roi_gt_2 task=classification
2026-05-04 14:52:25 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=xgboost task=classification X.shape=(1460, 127)
2026-05-04 14:53:02 | INFO    | src.models.phase4.cv | Inner CV best: family=xgboost task=classification score=0.6165 params={'model__learning_rate': 0.03, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__reg_lambda': 1.0}
2026-05-04 14:53:02 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=xgboost task=classification
2026-05-04 14:53:04 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (xgboost, classification): auc_roc=0.6358, pr_auc=0.7378, log_loss=0.6699, f1=0.6705
2026-05-04 14:53:05 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (xgboost, classification): auc_roc=0.6018, pr_auc=0.6966, log_loss=0.6980, f1=0.6954
2026-05-04 14:53:07 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (xgboost, classification): auc_roc=0.5581, pr_auc=0.7003, log_loss=0.7192, f1=0.6415
