2026-05-04 14:17:28 | INFO    | src.experiments.save_run | Run started: phase=phase_4_v2 name=all_five_linear dir=runs/phase_4_v2/20260504_1417_all_five_linear
2026-05-04 14:17:28 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=linear target=log_roi task=regression
2026-05-04 14:17:28 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=regression X.shape=(1460, 127)
2026-05-04 14:17:30 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=regression score=-1.3524 params={'model__alpha': np.float64(1000.0)}
2026-05-04 14:17:30 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=regression
2026-05-04 14:17:30 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, regression): mse=2.0129, rmse=1.4188, mae=1.0149, cvrmse=1.0584
2026-05-04 14:17:30 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, regression): mse=1.7737, rmse=1.3318, mae=0.9863, cvrmse=1.0171
2026-05-04 14:17:30 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, regression): mse=1.6953, rmse=1.3020, mae=0.9794, cvrmse=0.9508
2026-05-04 14:17:30 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, regression): mse=1.6727, rmse=1.2933, mae=0.9516, cvrmse=0.9901
2026-05-04 14:17:31 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, regression): mse=2.0048, rmse=1.4159, mae=1.0308, cvrmse=1.0425
2026-05-04 14:17:31 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, regression): mse=1.8730, rmse=1.3686, mae=0.9927, cvrmse=0.9962
2026-05-04 14:17:31 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, regression): mse=1.5821, rmse=1.2578, mae=0.9266, cvrmse=1.0082
2026-05-04 14:17:31 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, regression): mse=2.1977, rmse=1.4825, mae=1.0623, cvrmse=1.1138
2026-05-04 14:17:31 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, regression): mse=1.6085, rmse=1.2683, mae=0.9410, cvrmse=0.9481
2026-05-04 14:17:31 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, regression): mse=1.8865, rmse=1.3735, mae=1.0305, cvrmse=0.9856
2026-05-04 14:17:31 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, regression): mse=1.5841, rmse=1.2586, mae=0.9363, cvrmse=0.9380
2026-05-04 14:17:31 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, regression): mse=1.9842, rmse=1.4086, mae=1.0152, cvrmse=1.0224
2026-05-04 14:17:31 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, regression): mse=1.9528, rmse=1.3974, mae=1.0195, cvrmse=1.0273
2026-05-04 14:17:31 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, regression): mse=1.8137, rmse=1.3467, mae=0.9947, cvrmse=0.9978
2026-05-04 14:17:31 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, regression): mse=1.8229, rmse=1.3502, mae=1.0133, cvrmse=1.0765
2026-05-04 14:17:31 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=linear target=log_roi OOF=cvrmse=1.0107, mae=0.9914, mse=1.8253, rmse=1.3510 inner_best_params={'model__alpha': np.float64(1000.0)}
2026-05-04 14:17:31 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=linear target=roi_gt_1 task=classification
2026-05-04 14:17:31 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1460, 127)
2026-05-04 14:17:31 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.5771 params={'model__C': np.float64(0.001)}
2026-05-04 14:17:31 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
2026-05-04 14:17:31 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, classification): auc_roc=0.5993, pr_auc=0.8438, log_loss=0.6747, f1=0.6937
2026-05-04 14:17:31 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, classification): auc_roc=0.5892, pr_auc=0.8476, log_loss=0.6694, f1=0.7065
2026-05-04 14:17:32 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, classification): auc_roc=0.5699, pr_auc=0.8468, log_loss=0.6773, f1=0.6768
