2026-05-03 21:57:11 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | knn | oof   | log_roi | mae = 0.9762 [CI 0.9220, 1.0309]
2026-05-03 21:57:11 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | knn | oof   | log_roi | cvrmse = 1.0256 [CI 0.9584, 1.0989]
2026-05-03 21:57:14 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | knn | oof   | roi_gt_1 | auc_roc = 0.5610 [CI 0.5220, 0.5979]
2026-05-03 21:57:14 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | knn | oof   | roi_gt_1 | pr_auc = 0.8470 [CI 0.8213, 0.8740]
2026-05-03 21:57:14 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | knn | oof   | roi_gt_1 | log_loss = 0.5237 [CI 0.4672, 0.5997]
2026-05-03 21:57:14 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | knn | oof   | roi_gt_1 | f1 = 0.8934 [CI 0.8805, 0.9080]
2026-05-03 21:57:18 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | knn | oof   | roi_gt_2 | auc_roc = 0.5534 [CI 0.5215, 0.5896]
2026-05-03 21:57:18 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | knn | oof   | roi_gt_2 | pr_auc = 0.6907 [CI 0.6568, 0.7309]
2026-05-03 21:57:18 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | knn | oof   | roi_gt_2 | log_loss = 0.6571 [CI 0.6367, 0.6765]
2026-05-03 21:57:18 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | knn | oof   | roi_gt_2 | f1 = 0.7570 [CI 0.7358, 0.7783]
2026-05-03 21:57:19 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | svm | train | log_roi | mse = 1.2560
2026-05-03 21:57:19 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | svm | train | log_roi | rmse = 1.1207
2026-05-03 21:57:19 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | svm | train | log_roi | mae = 0.6807
2026-05-03 21:57:19 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | svm | train | log_roi | cvrmse = 0.8318
2026-05-03 21:57:20 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | svm | oof   | log_roi | mse = 1.8277 [CI 1.5134, 2.2060]
2026-05-03 21:57:20 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | svm | oof   | log_roi | rmse = 1.3519 [CI 1.2302, 1.4852]
2026-05-03 21:57:20 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | svm | oof   | log_roi | mae = 0.9567 [CI 0.9033, 1.0113]
2026-05-03 21:57:20 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | svm | oof   | log_roi | cvrmse = 1.0033 [CI 0.9281, 1.0839]
2026-05-03 21:57:23 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | svm | oof   | roi_gt_1 | auc_roc = 0.5855 [CI 0.5475, 0.6242]
2026-05-03 21:57:23 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | svm | oof   | roi_gt_1 | pr_auc = 0.8546 [CI 0.8305, 0.8802]
2026-05-03 21:57:23 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | svm | oof   | roi_gt_1 | f1 = 0.8934 [CI 0.8800, 0.9080]
2026-05-03 21:57:26 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | svm | oof   | roi_gt_2 | auc_roc = 0.5766 [CI 0.5432, 0.6106]
2026-05-03 21:57:26 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | svm | oof   | roi_gt_2 | pr_auc = 0.7027 [CI 0.6692, 0.7416]
2026-05-03 21:57:26 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | svm | oof   | roi_gt_2 | f1 = 0.7762 [CI 0.7560, 0.7963]
2026-05-03 21:57:26 | INFO    | src.experiments.save_run | Run finished: phase=phase_3 name=combinations_topic_plus_cn dir=runs/phase_3/20260503_2156_combinations_topic_plus_cn
