2026-05-04 15:02:05 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (xgboost, classification): auc_roc=0.5983, pr_auc=0.8483, log_loss=0.5588, f1=0.8245
2026-05-04 15:02:07 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (xgboost, classification): auc_roc=0.6482, pr_auc=0.8549, log_loss=0.5263, f1=0.8501
2026-05-04 15:02:08 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (xgboost, classification): auc_roc=0.5797, pr_auc=0.8151, log_loss=0.5805, f1=0.8301
2026-05-04 15:02:10 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (xgboost, classification): auc_roc=0.5800, pr_auc=0.8409, log_loss=0.5655, f1=0.8213
2026-05-04 15:02:14 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=xgboost target=roi_gt_1 OOF=auc_roc=0.6129, f1=0.8429, log_loss=0.5475, pr_auc=0.8410 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__reg_lambda': 1.0}
2026-05-04 15:02:14 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=xgboost target=roi_gt_2 task=classification
2026-05-04 15:02:14 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=xgboost task=classification X.shape=(1460, 92)
2026-05-04 15:02:38 | INFO    | src.models.phase4.cv | Inner CV best: family=xgboost task=classification score=0.6102 params={'model__learning_rate': 0.01, 'model__max_depth': 4, 'model__min_child_weight': 5, 'model__reg_lambda': 10.0}
2026-05-04 15:02:38 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=xgboost task=classification
2026-05-04 15:02:39 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (xgboost, classification): auc_roc=0.6461, pr_auc=0.7335, log_loss=0.6642, f1=0.6159
2026-05-04 15:02:39 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (xgboost, classification): auc_roc=0.5983, pr_auc=0.7242, log_loss=0.6678, f1=0.6476
2026-05-04 15:02:40 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (xgboost, classification): auc_roc=0.5605, pr_auc=0.6851, log_loss=0.6860, f1=0.6261
2026-05-04 15:02:40 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (xgboost, classification): auc_roc=0.6417, pr_auc=0.7175, log_loss=0.6614, f1=0.6527
2026-05-04 15:02:41 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (xgboost, classification): auc_roc=0.6044, pr_auc=0.7237, log_loss=0.6736, f1=0.6209
2026-05-04 15:02:42 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (xgboost, classification): auc_roc=0.5657, pr_auc=0.6814, log_loss=0.6854, f1=0.6334
2026-05-04 15:02:42 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (xgboost, classification): auc_roc=0.6511, pr_auc=0.7578, log_loss=0.6496, f1=0.6628
2026-05-04 15:02:43 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (xgboost, classification): auc_roc=0.6403, pr_auc=0.7297, log_loss=0.6559, f1=0.6648
2026-05-04 15:02:43 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (xgboost, classification): auc_roc=0.5615, pr_auc=0.6830, log_loss=0.6897, f1=0.6053
2026-05-04 15:02:44 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (xgboost, classification): auc_roc=0.6347, pr_auc=0.7396, log_loss=0.6598, f1=0.6347
2026-05-04 15:02:45 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (xgboost, classification): auc_roc=0.6263, pr_auc=0.7309, log_loss=0.6654, f1=0.6725
2026-05-04 15:02:45 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (xgboost, classification): auc_roc=0.5806, pr_auc=0.6960, log_loss=0.6796, f1=0.6071
2026-05-04 15:02:46 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (xgboost, classification): auc_roc=0.5960, pr_auc=0.7127, log_loss=0.6679, f1=0.6254
2026-05-04 15:02:47 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (xgboost, classification): auc_roc=0.6456, pr_auc=0.7520, log_loss=0.6579, f1=0.6335
2026-05-04 15:02:47 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (xgboost, classification): auc_roc=0.5399, pr_auc=0.6738, log_loss=0.6929, f1=0.6185
2026-05-04 15:02:50 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=xgboost target=roi_gt_2 OOF=auc_roc=0.6137, f1=0.6383, log_loss=0.6668, pr_auc=0.7181 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 4, 'model__min_child_weight': 5, 'model__reg_lambda': 10.0}
2026-05-04 15:02:50 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=standalone_positive_union_mpnet_xgboost dir=runs/phase_4_v2/20260504_1500_standalone_positive_union_mpnet_xgboost
