2026-05-04 14:25:15 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (random_forest, classification): auc_roc=0.6458, pr_auc=0.8697, log_loss=0.5669, f1=0.8701
2026-05-04 14:25:17 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (random_forest, classification): auc_roc=0.6015, pr_auc=0.8306, log_loss=0.5822, f1=0.8748
2026-05-04 14:25:18 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (random_forest, classification): auc_roc=0.5798, pr_auc=0.8390, log_loss=0.5907, f1=0.8438
2026-05-04 14:25:22 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=random_forest target=roi_gt_1 OOF=auc_roc=0.6005, f1=0.8637, log_loss=0.5835, pr_auc=0.8472 inner_best_params={'model__max_depth': 12, 'model__min_samples_leaf': 20, 'model__n_estimators': 500}
2026-05-04 14:25:22 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=random_forest target=roi_gt_2 task=classification
2026-05-04 14:25:22 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=random_forest task=classification X.shape=(1460, 127)
2026-05-04 14:25:39 | INFO    | src.models.phase4.cv | Inner CV best: family=random_forest task=classification score=0.5943 params={'model__max_depth': 6, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}
2026-05-04 14:25:39 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=random_forest task=classification
2026-05-04 14:25:40 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (random_forest, classification): auc_roc=0.5743, pr_auc=0.6932, log_loss=0.6755, f1=0.6398
2026-05-04 14:25:40 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (random_forest, classification): auc_roc=0.6336, pr_auc=0.7263, log_loss=0.6594, f1=0.7192
2026-05-04 14:25:41 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (random_forest, classification): auc_roc=0.5269, pr_auc=0.6613, log_loss=0.6822, f1=0.6495
2026-05-04 14:25:42 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (random_forest, classification): auc_roc=0.6453, pr_auc=0.7258, log_loss=0.6588, f1=0.7230
2026-05-04 14:25:42 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (random_forest, classification): auc_roc=0.5915, pr_auc=0.7185, log_loss=0.6665, f1=0.6540
2026-05-04 14:25:43 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (random_forest, classification): auc_roc=0.5594, pr_auc=0.7005, log_loss=0.6751, f1=0.6667
2026-05-04 14:25:43 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (random_forest, classification): auc_roc=0.6144, pr_auc=0.7186, log_loss=0.6648, f1=0.7196
2026-05-04 14:25:44 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (random_forest, classification): auc_roc=0.6338, pr_auc=0.6960, log_loss=0.6638, f1=0.7224
2026-05-04 14:25:45 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (random_forest, classification): auc_roc=0.5524, pr_auc=0.6816, log_loss=0.6755, f1=0.6753
2026-05-04 14:25:45 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (random_forest, classification): auc_roc=0.5717, pr_auc=0.6978, log_loss=0.6708, f1=0.6810
2026-05-04 14:25:46 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (random_forest, classification): auc_roc=0.6244, pr_auc=0.7159, log_loss=0.6646, f1=0.7011
2026-05-04 14:25:46 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (random_forest, classification): auc_roc=0.6187, pr_auc=0.7157, log_loss=0.6658, f1=0.7078
2026-05-04 14:25:47 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (random_forest, classification): auc_roc=0.6251, pr_auc=0.7289, log_loss=0.6598, f1=0.6997
2026-05-04 14:25:48 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (random_forest, classification): auc_roc=0.6357, pr_auc=0.7272, log_loss=0.6600, f1=0.7097
2026-05-04 14:25:48 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (random_forest, classification): auc_roc=0.5109, pr_auc=0.6378, log_loss=0.6881, f1=0.6803
2026-05-04 14:25:51 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=random_forest target=roi_gt_2 OOF=auc_roc=0.5972, f1=0.7022, log_loss=0.6678, pr_auc=0.7009 inner_best_params={'model__max_depth': 6, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}
2026-05-04 14:25:51 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=all_five_random_forest dir=runs/phase_4_v2/20260504_1418_all_five_random_forest
