2026-05-04 14:39:42 | INFO    | src.experiments.save_run | Run started: phase=phase_4_v2 name=all_five_mpnet_linear dir=runs/phase_4_v2/20260504_1439_all_five_mpnet_linear
2026-05-04 14:39:42 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five_mpnet family=linear target=log_roi task=regression
2026-05-04 14:39:42 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=regression X.shape=(1460, 127)
2026-05-04 14:39:45 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=regression score=-1.3487 params={'model__alpha': np.float64(1000.0)}
2026-05-04 14:39:45 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=regression
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, regression): mse=2.0168, rmse=1.4202, mae=1.0077, cvrmse=1.0595
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, regression): mse=1.7772, rmse=1.3331, mae=0.9901, cvrmse=1.0181
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, regression): mse=1.6704, rmse=1.2924, mae=0.9701, cvrmse=0.9438
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, regression): mse=1.6548, rmse=1.2864, mae=0.9445, cvrmse=0.9848
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, regression): mse=1.9922, rmse=1.4114, mae=1.0278, cvrmse=1.0392
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, regression): mse=1.8670, rmse=1.3664, mae=0.9885, cvrmse=0.9946
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, regression): mse=1.5686, rmse=1.2524, mae=0.9208, cvrmse=1.0039
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, regression): mse=2.1591, rmse=1.4694, mae=1.0458, cvrmse=1.1040
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, regression): mse=1.6121, rmse=1.2697, mae=0.9481, cvrmse=0.9491
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, regression): mse=1.8870, rmse=1.3737, mae=1.0272, cvrmse=0.9857
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, regression): mse=1.5696, rmse=1.2528, mae=0.9341, cvrmse=0.9337
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, regression): mse=1.9838, rmse=1.4085, mae=1.0123, cvrmse=1.0223
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, regression): mse=1.9463, rmse=1.3951, mae=1.0092, cvrmse=1.0256
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, regression): mse=1.8224, rmse=1.3500, mae=1.0004, cvrmse=1.0002
2026-05-04 14:39:45 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, regression): mse=1.8284, rmse=1.3522, mae=1.0134, cvrmse=1.0781
