2026-05-04 14:35:58 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (random_forest, classification): auc_roc=0.6412, pr_auc=0.8671, log_loss=0.5682, f1=0.8715
2026-05-04 14:35:59 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (random_forest, classification): auc_roc=0.6291, pr_auc=0.8490, log_loss=0.5823, f1=0.8507
2026-05-04 14:36:01 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (random_forest, classification): auc_roc=0.5879, pr_auc=0.8459, log_loss=0.5894, f1=0.8388
2026-05-04 14:36:04 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=random_forest target=roi_gt_1 OOF=auc_roc=0.6060, f1=0.8551, log_loss=0.5853, pr_auc=0.8488 inner_best_params={'model__max_depth': 6, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}
2026-05-04 14:36:04 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=random_forest target=roi_gt_2 task=classification
2026-05-04 14:36:04 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=random_forest task=classification X.shape=(1460, 92)
2026-05-04 14:36:18 | INFO    | src.models.phase4.cv | Inner CV best: family=random_forest task=classification score=0.6007 params={'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}
2026-05-04 14:36:18 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=random_forest task=classification
2026-05-04 14:36:19 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (random_forest, classification): auc_roc=0.6148, pr_auc=0.7084, log_loss=0.6474, f1=0.7576
2026-05-04 14:36:20 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (random_forest, classification): auc_roc=0.6258, pr_auc=0.7381, log_loss=0.6450, f1=0.7529
2026-05-04 14:36:21 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (random_forest, classification): auc_roc=0.5148, pr_auc=0.6562, log_loss=0.6719, f1=0.7289
2026-05-04 14:36:21 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (random_forest, classification): auc_roc=0.6433, pr_auc=0.7241, log_loss=0.6400, f1=0.7615
2026-05-04 14:36:22 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (random_forest, classification): auc_roc=0.6049, pr_auc=0.7268, log_loss=0.6499, f1=0.7160
2026-05-04 14:36:23 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (random_forest, classification): auc_roc=0.5634, pr_auc=0.6865, log_loss=0.6624, f1=0.7243
2026-05-04 14:36:23 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (random_forest, classification): auc_roc=0.6248, pr_auc=0.7302, log_loss=0.6472, f1=0.7494
2026-05-04 14:36:24 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (random_forest, classification): auc_roc=0.6251, pr_auc=0.7137, log_loss=0.6448, f1=0.7588
2026-05-04 14:36:25 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (random_forest, classification): auc_roc=0.5651, pr_auc=0.7014, log_loss=0.6568, f1=0.7290
2026-05-04 14:36:25 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (random_forest, classification): auc_roc=0.5813, pr_auc=0.7154, log_loss=0.6558, f1=0.7281
2026-05-04 14:36:26 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (random_forest, classification): auc_roc=0.6569, pr_auc=0.7377, log_loss=0.6368, f1=0.7606
2026-05-04 14:36:27 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (random_forest, classification): auc_roc=0.5969, pr_auc=0.7004, log_loss=0.6576, f1=0.7251
2026-05-04 14:36:27 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (random_forest, classification): auc_roc=0.6304, pr_auc=0.7323, log_loss=0.6371, f1=0.7818
2026-05-04 14:36:28 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (random_forest, classification): auc_roc=0.6009, pr_auc=0.6984, log_loss=0.6525, f1=0.7506
2026-05-04 14:36:29 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (random_forest, classification): auc_roc=0.5373, pr_auc=0.6735, log_loss=0.6744, f1=0.7215
2026-05-04 14:36:32 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=random_forest target=roi_gt_2 OOF=auc_roc=0.6049, f1=0.7494, log_loss=0.6497, pr_auc=0.7125 inner_best_params={'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}
2026-05-04 14:36:32 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=standalone_positive_union_random_forest dir=runs/phase_4_v2/20260504_1431_standalone_positive_union_random_forest
