2026-05-03 21:55:56 | INFO    | src.models.baseline.train | phase_3c_all_five | knn | oof   | roi_gt_1 | pr_auc = 0.8368 [CI 0.8097, 0.8672]
2026-05-03 21:55:56 | INFO    | src.models.baseline.train | phase_3c_all_five | knn | oof   | roi_gt_1 | log_loss = 0.5570 [CI 0.4787, 0.6636]
2026-05-03 21:55:56 | INFO    | src.models.baseline.train | phase_3c_all_five | knn | oof   | roi_gt_1 | f1 = 0.8929 [CI 0.8794, 0.9075]
2026-05-03 21:56:00 | INFO    | src.models.baseline.train | phase_3c_all_five | knn | oof   | roi_gt_2 | auc_roc = 0.5594 [CI 0.5245, 0.5920]
2026-05-03 21:56:00 | INFO    | src.models.baseline.train | phase_3c_all_five | knn | oof   | roi_gt_2 | pr_auc = 0.6860 [CI 0.6506, 0.7239]
2026-05-03 21:56:00 | INFO    | src.models.baseline.train | phase_3c_all_five | knn | oof   | roi_gt_2 | log_loss = 0.6571 [CI 0.6364, 0.6785]
2026-05-03 21:56:00 | INFO    | src.models.baseline.train | phase_3c_all_five | knn | oof   | roi_gt_2 | f1 = 0.7639 [CI 0.7424, 0.7855]
2026-05-03 21:56:01 | INFO    | src.models.baseline.train | phase_3c_all_five | svm | train | log_roi | mse = 1.1330
2026-05-03 21:56:01 | INFO    | src.models.baseline.train | phase_3c_all_five | svm | train | log_roi | rmse = 1.0644
2026-05-03 21:56:01 | INFO    | src.models.baseline.train | phase_3c_all_five | svm | train | log_roi | mae = 0.6087
2026-05-03 21:56:01 | INFO    | src.models.baseline.train | phase_3c_all_five | svm | train | log_roi | cvrmse = 0.7900
2026-05-03 21:56:01 | INFO    | src.models.baseline.train | phase_3c_all_five | svm | oof   | log_roi | mse = 1.8126 [CI 1.5009, 2.1968]
2026-05-03 21:56:01 | INFO    | src.models.baseline.train | phase_3c_all_five | svm | oof   | log_roi | rmse = 1.3463 [CI 1.2251, 1.4822]
2026-05-03 21:56:01 | INFO    | src.models.baseline.train | phase_3c_all_five | svm | oof   | log_roi | mae = 0.9480 [CI 0.8969, 1.0007]
2026-05-03 21:56:01 | INFO    | src.models.baseline.train | phase_3c_all_five | svm | oof   | log_roi | cvrmse = 0.9992 [CI 0.9236, 1.0792]
2026-05-03 21:56:05 | INFO    | src.models.baseline.train | phase_3c_all_five | svm | oof   | roi_gt_1 | auc_roc = 0.5607 [CI 0.5217, 0.6005]
2026-05-03 21:56:05 | INFO    | src.models.baseline.train | phase_3c_all_five | svm | oof   | roi_gt_1 | pr_auc = 0.8411 [CI 0.8154, 0.8670]
2026-05-03 21:56:05 | INFO    | src.models.baseline.train | phase_3c_all_five | svm | oof   | roi_gt_1 | f1 = 0.8934 [CI 0.8800, 0.9080]
2026-05-03 21:56:08 | INFO    | src.models.baseline.train | phase_3c_all_five | svm | oof   | roi_gt_2 | auc_roc = 0.5966 [CI 0.5649, 0.6310]
2026-05-03 21:56:08 | INFO    | src.models.baseline.train | phase_3c_all_five | svm | oof   | roi_gt_2 | pr_auc = 0.7071 [CI 0.6726, 0.7448]
2026-05-03 21:56:08 | INFO    | src.models.baseline.train | phase_3c_all_five | svm | oof   | roi_gt_2 | f1 = 0.7812 [CI 0.7606, 0.8010]
2026-05-03 21:56:08 | INFO    | src.experiments.save_run | Run finished: phase=phase_3 name=combinations_all_five dir=runs/phase_3/20260503_2155_combinations_all_five
