2026-05-03 21:57:51 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | knn | oof   | log_roi | cvrmse = 1.0202 [CI 0.9491, 1.0993]
2026-05-03 21:57:55 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | knn | oof   | roi_gt_1 | auc_roc = 0.5383 [CI 0.4967, 0.5788]
2026-05-03 21:57:55 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | knn | oof   | roi_gt_1 | pr_auc = 0.8267 [CI 0.8000, 0.8576]
2026-05-03 21:57:55 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | knn | oof   | roi_gt_1 | log_loss = 0.6166 [CI 0.5054, 0.7461]
2026-05-03 21:57:55 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | knn | oof   | roi_gt_1 | f1 = 0.8929 [CI 0.8794, 0.9075]
2026-05-03 21:57:59 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | knn | oof   | roi_gt_2 | auc_roc = 0.5576 [CI 0.5248, 0.5898]
2026-05-03 21:57:59 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | knn | oof   | roi_gt_2 | pr_auc = 0.6915 [CI 0.6558, 0.7325]
2026-05-03 21:57:59 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | knn | oof   | roi_gt_2 | log_loss = 0.6603 [CI 0.6395, 0.6802]
2026-05-03 21:57:59 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | knn | oof   | roi_gt_2 | f1 = 0.7486 [CI 0.7272, 0.7710]
2026-05-03 21:58:00 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | svm | train | log_roi | mse = 1.1615
2026-05-03 21:58:00 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | svm | train | log_roi | rmse = 1.0777
2026-05-03 21:58:00 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | svm | train | log_roi | mae = 0.6275
2026-05-03 21:58:00 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | svm | train | log_roi | cvrmse = 0.7998
2026-05-03 21:58:00 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | svm | oof   | log_roi | mse = 1.8233 [CI 1.5144, 2.2127]
2026-05-03 21:58:00 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | svm | oof   | log_roi | rmse = 1.3503 [CI 1.2306, 1.4875]
2026-05-03 21:58:00 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | svm | oof   | log_roi | mae = 0.9572 [CI 0.9065, 1.0097]
2026-05-03 21:58:00 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | svm | oof   | log_roi | cvrmse = 1.0021 [CI 0.9266, 1.0834]
2026-05-03 21:58:04 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | svm | oof   | roi_gt_1 | auc_roc = 0.5506 [CI 0.5068, 0.5916]
2026-05-03 21:58:04 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | svm | oof   | roi_gt_1 | pr_auc = 0.8336 [CI 0.8059, 0.8620]
2026-05-03 21:58:04 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | svm | oof   | roi_gt_1 | f1 = 0.8934 [CI 0.8800, 0.9080]
2026-05-03 21:58:07 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | svm | oof   | roi_gt_2 | auc_roc = 0.5910 [CI 0.5581, 0.6233]
2026-05-03 21:58:07 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | svm | oof   | roi_gt_2 | pr_auc = 0.7053 [CI 0.6710, 0.7446]
2026-05-03 21:58:07 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | svm | oof   | roi_gt_2 | f1 = 0.7752 [CI 0.7548, 0.7957]
2026-05-03 21:58:07 | INFO    | src.experiments.save_run | Run finished: phase=phase_3 name=combinations_semantic_trio dir=runs/phase_3/20260503_2157_combinations_semantic_trio
