2026-05-04 14:29:34 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (xgboost, classification): auc_roc=0.6067, pr_auc=0.8330, log_loss=0.6135, f1=0.8027
2026-05-04 14:29:35 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (xgboost, classification): auc_roc=0.6035, pr_auc=0.8214, log_loss=0.6290, f1=0.7588
2026-05-04 14:29:35 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (xgboost, classification): auc_roc=0.5849, pr_auc=0.8433, log_loss=0.6331, f1=0.7388
2026-05-04 14:29:38 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=xgboost target=roi_gt_1 OOF=auc_roc=0.5954, f1=0.7662, log_loss=0.6250, pr_auc=0.8343 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__reg_lambda': 1.0}
2026-05-04 14:29:38 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=xgboost target=roi_gt_2 task=classification
2026-05-04 14:29:38 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=xgboost task=classification X.shape=(1460, 127)
2026-05-04 14:30:17 | INFO    | src.models.phase4.cv | Inner CV best: family=xgboost task=classification score=0.5981 params={'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__min_child_weight': 5, 'model__reg_lambda': 1.0}
2026-05-04 14:30:17 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=xgboost task=classification
2026-05-04 14:30:18 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (xgboost, classification): auc_roc=0.6009, pr_auc=0.7230, log_loss=0.6760, f1=0.6416
2026-05-04 14:30:19 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (xgboost, classification): auc_roc=0.6216, pr_auc=0.7169, log_loss=0.6632, f1=0.6797
2026-05-04 14:30:20 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (xgboost, classification): auc_roc=0.5160, pr_auc=0.6716, log_loss=0.7230, f1=0.6146
2026-05-04 14:30:21 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (xgboost, classification): auc_roc=0.6276, pr_auc=0.6823, log_loss=0.6657, f1=0.6986
2026-05-04 14:30:22 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (xgboost, classification): auc_roc=0.6243, pr_auc=0.7230, log_loss=0.6573, f1=0.6814
2026-05-04 14:30:23 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (xgboost, classification): auc_roc=0.5630, pr_auc=0.6804, log_loss=0.7148, f1=0.6346
2026-05-04 14:30:24 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (xgboost, classification): auc_roc=0.5890, pr_auc=0.7300, log_loss=0.6661, f1=0.6721
2026-05-04 14:30:25 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (xgboost, classification): auc_roc=0.5883, pr_auc=0.6773, log_loss=0.6753, f1=0.6774
2026-05-04 14:30:26 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (xgboost, classification): auc_roc=0.5897, pr_auc=0.6842, log_loss=0.6901, f1=0.6536
2026-05-04 14:30:27 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (xgboost, classification): auc_roc=0.5391, pr_auc=0.6623, log_loss=0.7284, f1=0.6176
2026-05-04 14:30:27 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (xgboost, classification): auc_roc=0.6396, pr_auc=0.7265, log_loss=0.6556, f1=0.6964
2026-05-04 14:30:28 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (xgboost, classification): auc_roc=0.5639, pr_auc=0.6802, log_loss=0.7094, f1=0.6667
2026-05-04 14:30:29 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (xgboost, classification): auc_roc=0.6066, pr_auc=0.7214, log_loss=0.6628, f1=0.6971
2026-05-04 14:30:30 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (xgboost, classification): auc_roc=0.5906, pr_auc=0.7117, log_loss=0.6764, f1=0.6610
2026-05-04 14:30:31 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (xgboost, classification): auc_roc=0.5166, pr_auc=0.6498, log_loss=0.7327, f1=0.6175
2026-05-04 14:30:34 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=xgboost target=roi_gt_2 OOF=auc_roc=0.5945, f1=0.6696, log_loss=0.6719, pr_auc=0.6980 inner_best_params={'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__min_child_weight': 5, 'model__reg_lambda': 1.0}
2026-05-04 14:30:34 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=all_five_xgboost dir=runs/phase_4_v2/20260504_1427_all_five_xgboost
