2026-05-03 23:42:03 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=random_forest target=log_roi task=regression
2026-05-03 23:42:03 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=random_forest task=regression X.shape=(1199, 127)
2026-05-03 23:44:03 | INFO    | src.models.phase4.cv | Inner CV best: family=random_forest task=regression score=-1.3151 params={'model__max_depth': 12, 'model__min_samples_leaf': 20, 'model__n_estimators': 200}
2026-05-03 23:44:03 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=random_forest task=regression
2026-05-03 23:45:07 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=random_forest target=log_roi OOF=cvrmse=0.9762, mae=0.9335, mse=1.7303, rmse=1.3154 inner_best_params={'model__max_depth': 12, 'model__min_samples_leaf': 20, 'model__n_estimators': 200}
2026-05-03 23:45:07 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=random_forest target=roi_gt_1 task=classification
2026-05-03 23:45:07 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=random_forest task=classification X.shape=(1199, 127)
2026-05-03 23:45:22 | INFO    | src.models.phase4.cv | Inner CV best: family=random_forest task=classification score=0.5688 params={'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}
2026-05-03 23:45:22 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=random_forest task=classification
2026-05-03 23:45:48 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=random_forest target=roi_gt_1 OOF=auc_roc=0.5715, f1=0.8937, log_loss=0.5046, pr_auc=0.8388 inner_best_params={'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}
2026-05-03 23:45:48 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=random_forest target=roi_gt_2 task=classification
2026-05-03 23:45:48 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=random_forest task=classification X.shape=(1199, 127)
2026-05-03 23:46:04 | INFO    | src.models.phase4.cv | Inner CV best: family=random_forest task=classification score=0.6171 params={'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}
2026-05-03 23:46:04 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=random_forest task=classification
2026-05-03 23:46:31 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=random_forest target=roi_gt_2 OOF=auc_roc=0.6149, f1=0.7711, log_loss=0.6399, pr_auc=0.7281 inner_best_params={'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}
2026-05-03 23:46:31 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=all_five_random_forest dir=runs/phase_4/20260503_2342_all_five_random_forest
2026-05-03 23:46:31 | INFO    | src.models.phase4.benchmark | Cell start: matrix=all_five family=svm_rbf X=(1199, 127)
