2026-05-03 23:58:00 | INFO    | src.experiments.save_run | Run started: phase=phase_4 name=all_five_linear_svm dir=runs/phase_4/20260503_2358_all_five_linear_svm
2026-05-03 23:58:00 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=linear_svm target=log_roi task=regression
2026-05-03 23:58:00 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear_svm task=regression X.shape=(1199, 127)
2026-05-03 23:58:01 | INFO    | src.models.phase4.cv | Inner CV best: family=linear_svm task=regression score=-1.3646 params={'model__C': 0.01}
2026-05-03 23:58:01 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear_svm task=regression
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear_svm, regression): mse=1.4453, rmse=1.2022, mae=0.9000, cvrmse=0.9420
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear_svm, regression): mse=1.8759, rmse=1.3696, mae=0.9799, cvrmse=0.9772
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear_svm, regression): mse=1.8534, rmse=1.3614, mae=0.9861, cvrmse=1.0334
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear_svm, regression): mse=1.8815, rmse=1.3717, mae=1.0048, cvrmse=0.9968
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear_svm, regression): mse=2.3063, rmse=1.5187, mae=1.0250, cvrmse=1.1118
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear_svm, regression): mse=1.3921, rmse=1.1799, mae=0.9243, cvrmse=0.8855
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear_svm, regression): mse=2.5268, rmse=1.5896, mae=0.9978, cvrmse=1.1576
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear_svm, regression): mse=1.7191, rmse=1.3111, mae=0.9643, cvrmse=0.9950
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear_svm, regression): mse=1.7039, rmse=1.3054, mae=0.9389, cvrmse=0.9939
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear_svm, regression): mse=2.0748, rmse=1.4404, mae=1.0374, cvrmse=1.0284
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear_svm, regression): mse=2.0415, rmse=1.4288, mae=1.0327, cvrmse=0.9947
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear_svm, regression): mse=1.6542, rmse=1.2862, mae=0.9696, cvrmse=0.9597
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear_svm, regression): mse=2.3596, rmse=1.5361, mae=0.9842, cvrmse=1.1450
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear_svm, regression): mse=1.6913, rmse=1.3005, mae=0.9014, cvrmse=1.0301
2026-05-03 23:58:01 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear_svm, regression): mse=1.7041, rmse=1.3054, mae=0.9775, cvrmse=0.9624
2026-05-03 23:58:02 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=linear_svm target=log_roi OOF=cvrmse=1.0117, mae=0.9666, mse=1.8582, rmse=1.3632 inner_best_params={'model__C': 0.01}
2026-05-03 23:58:02 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=linear_svm target=roi_gt_1 task=classification
2026-05-03 23:58:02 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear_svm task=classification X.shape=(1199, 127)
2026-05-03 23:58:02 | INFO    | src.models.phase4.cv | Inner CV best: family=linear_svm task=classification score=0.5687 params={'model__C': 1}
2026-05-03 23:58:02 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear_svm task=classification
