2026-05-04 02:29:05 | INFO    | src.experiments.save_run | Run started: phase=phase_4 name=all_five_mpnet_linear dir=runs/phase_4/20260504_0229_all_five_mpnet_linear
2026-05-04 02:29:05 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five_mpnet family=linear target=log_roi task=regression
2026-05-04 02:29:05 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=regression X.shape=(1199, 127)
2026-05-04 02:29:07 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=regression score=-1.3411 params={'model__alpha': np.float64(1000.0)}
2026-05-04 02:29:07 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=regression
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, regression): mse=1.4106, rmse=1.1877, mae=0.8681, cvrmse=0.9307
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, regression): mse=1.7733, rmse=1.3317, mae=0.9417, cvrmse=0.9501
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, regression): mse=1.7703, rmse=1.3305, mae=0.9400, cvrmse=1.0100
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, regression): mse=1.8378, rmse=1.3557, mae=0.9755, cvrmse=0.9851
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, regression): mse=2.2496, rmse=1.4999, mae=0.9884, cvrmse=1.0981
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, regression): mse=1.3990, rmse=1.1828, mae=0.9099, cvrmse=0.8877
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, regression): mse=2.4102, rmse=1.5525, mae=0.9426, cvrmse=1.1306
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, regression): mse=1.5882, rmse=1.2602, mae=0.9196, cvrmse=0.9563
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, regression): mse=1.6297, rmse=1.2766, mae=0.9227, cvrmse=0.9720
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, regression): mse=2.0117, rmse=1.4183, mae=1.0216, cvrmse=1.0126
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, regression): mse=1.9874, rmse=1.4097, mae=1.0342, cvrmse=0.9814
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, regression): mse=1.6398, rmse=1.2806, mae=0.9587, cvrmse=0.9555
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, regression): mse=2.3356, rmse=1.5283, mae=0.9532, cvrmse=1.1391
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, regression): mse=1.6113, rmse=1.2694, mae=0.8713, cvrmse=1.0054
2026-05-04 02:29:07 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, regression): mse=1.4834, rmse=1.2179, mae=0.9174, cvrmse=0.8979
2026-05-04 02:29:07 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=linear target=log_roi OOF=cvrmse=0.9969, mae=0.9423, mse=1.8042, rmse=1.3432 inner_best_params={'model__alpha': np.float64(1000.0)}
2026-05-04 02:29:07 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five_mpnet family=linear target=roi_gt_1 task=classification
2026-05-04 02:29:07 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1199, 127)
2026-05-04 02:29:08 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.5957 params={'model__C': np.float64(1000.0)}
2026-05-04 02:29:08 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
2026-05-04 02:29:08 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, classification): auc_roc=0.5820, pr_auc=0.8611, log_loss=0.7663, f1=0.6748
