2026-05-04 02:45:00 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (svm_rbf, classification): auc_roc=0.5673, pr_auc=0.8541, f1=0.7906
2026-05-04 02:45:00 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (svm_rbf, classification): auc_roc=0.6069, pr_auc=0.8775, f1=0.8127
2026-05-04 02:45:01 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=svm_rbf target=roi_gt_1 OOF=auc_roc=0.6353, f1=0.8295, pr_auc=0.8771 inner_best_params={'model__C': 3, 'model__gamma': 0.01}
2026-05-04 02:45:01 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=svm_rbf target=roi_gt_2 task=classification
2026-05-04 02:45:01 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=svm_rbf task=classification X.shape=(1199, 92)
2026-05-04 02:45:03 | INFO    | src.models.phase4.cv | Inner CV best: family=svm_rbf task=classification score=0.6472 params={'model__C': 30, 'model__gamma': 0.001}
2026-05-04 02:45:03 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=svm_rbf task=classification
2026-05-04 02:45:03 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (svm_rbf, classification): auc_roc=0.6561, pr_auc=0.7573, f1=0.6831
2026-05-04 02:45:03 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (svm_rbf, classification): auc_roc=0.5990, pr_auc=0.7199, f1=0.6620
2026-05-04 02:45:03 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (svm_rbf, classification): auc_roc=0.7072, pr_auc=0.8319, f1=0.6912
2026-05-04 02:45:03 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (svm_rbf, classification): auc_roc=0.6638, pr_auc=0.7663, f1=0.6619
2026-05-04 02:45:03 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (svm_rbf, classification): auc_roc=0.6102, pr_auc=0.7271, f1=0.6547
2026-05-04 02:45:03 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (svm_rbf, classification): auc_roc=0.6632, pr_auc=0.7851, f1=0.6853
2026-05-04 02:45:04 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (svm_rbf, classification): auc_roc=0.6595, pr_auc=0.7755, f1=0.6569
2026-05-04 02:45:04 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (svm_rbf, classification): auc_roc=0.6474, pr_auc=0.7459, f1=0.6712
2026-05-04 02:45:04 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (svm_rbf, classification): auc_roc=0.6217, pr_auc=0.7471, f1=0.6429
2026-05-04 02:45:04 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (svm_rbf, classification): auc_roc=0.6261, pr_auc=0.7520, f1=0.6570
2026-05-04 02:45:04 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (svm_rbf, classification): auc_roc=0.6170, pr_auc=0.7545, f1=0.6176
2026-05-04 02:45:04 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (svm_rbf, classification): auc_roc=0.6060, pr_auc=0.7265, f1=0.6505
2026-05-04 02:45:04 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (svm_rbf, classification): auc_roc=0.6452, pr_auc=0.7725, f1=0.6548
2026-05-04 02:45:04 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (svm_rbf, classification): auc_roc=0.6717, pr_auc=0.7694, f1=0.7172
2026-05-04 02:45:04 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (svm_rbf, classification): auc_roc=0.5871, pr_auc=0.7241, f1=0.6599
2026-05-04 02:45:06 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=svm_rbf target=roi_gt_2 OOF=auc_roc=0.6459, f1=0.6709, pr_auc=0.7560 inner_best_params={'model__C': 30, 'model__gamma': 0.001}
2026-05-04 02:45:06 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=standalone_positive_union_mpnet_svm_rbf dir=runs/phase_4/20260504_0244_standalone_positive_union_mpnet_svm_rbf
