2026-05-03 21:56:36 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | roi_gt_1 | auc_roc = 0.5495 [CI 0.5108, 0.5908]
2026-05-03 21:56:36 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | roi_gt_1 | pr_auc = 0.8415 [CI 0.8163, 0.8697]
2026-05-03 21:56:36 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | roi_gt_1 | log_loss = 0.5557 [CI 0.4790, 0.6481]
2026-05-03 21:56:36 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | roi_gt_1 | f1 = 0.8929 [CI 0.8794, 0.9075]
2026-05-03 21:56:40 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | roi_gt_2 | auc_roc = 0.5664 [CI 0.5351, 0.5988]
2026-05-03 21:56:40 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | roi_gt_2 | pr_auc = 0.7125 [CI 0.6801, 0.7498]
2026-05-03 21:56:40 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | roi_gt_2 | log_loss = 0.6527 [CI 0.6329, 0.6717]
2026-05-03 21:56:40 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | roi_gt_2 | f1 = 0.7489 [CI 0.7264, 0.7707]
2026-05-03 21:56:40 | INFO    | src.models.baseline.train | phase_3c_partial_positives | svm | train | log_roi | mse = 1.1587
2026-05-03 21:56:40 | INFO    | src.models.baseline.train | phase_3c_partial_positives | svm | train | log_roi | rmse = 1.0764
2026-05-03 21:56:40 | INFO    | src.models.baseline.train | phase_3c_partial_positives | svm | train | log_roi | mae = 0.6246
2026-05-03 21:56:40 | INFO    | src.models.baseline.train | phase_3c_partial_positives | svm | train | log_roi | cvrmse = 0.7989
2026-05-03 21:56:41 | INFO    | src.models.baseline.train | phase_3c_partial_positives | svm | oof   | log_roi | mse = 1.7936 [CI 1.4809, 2.1879]
2026-05-03 21:56:41 | INFO    | src.models.baseline.train | phase_3c_partial_positives | svm | oof   | log_roi | rmse = 1.3392 [CI 1.2169, 1.4791]
2026-05-03 21:56:41 | INFO    | src.models.baseline.train | phase_3c_partial_positives | svm | oof   | log_roi | mae = 0.9402 [CI 0.8894, 0.9946]
2026-05-03 21:56:41 | INFO    | src.models.baseline.train | phase_3c_partial_positives | svm | oof   | log_roi | cvrmse = 0.9939 [CI 0.9179, 1.0766]
2026-05-03 21:56:44 | INFO    | src.models.baseline.train | phase_3c_partial_positives | svm | oof   | roi_gt_1 | auc_roc = 0.5581 [CI 0.5169, 0.5979]
2026-05-03 21:56:44 | INFO    | src.models.baseline.train | phase_3c_partial_positives | svm | oof   | roi_gt_1 | pr_auc = 0.8383 [CI 0.8117, 0.8687]
2026-05-03 21:56:44 | INFO    | src.models.baseline.train | phase_3c_partial_positives | svm | oof   | roi_gt_1 | f1 = 0.8934 [CI 0.8800, 0.9080]
2026-05-03 21:56:48 | INFO    | src.models.baseline.train | phase_3c_partial_positives | svm | oof   | roi_gt_2 | auc_roc = 0.5972 [CI 0.5643, 0.6309]
2026-05-03 21:56:48 | INFO    | src.models.baseline.train | phase_3c_partial_positives | svm | oof   | roi_gt_2 | pr_auc = 0.7139 [CI 0.6801, 0.7518]
2026-05-03 21:56:48 | INFO    | src.models.baseline.train | phase_3c_partial_positives | svm | oof   | roi_gt_2 | f1 = 0.7741 [CI 0.7538, 0.7957]
2026-05-03 21:56:48 | INFO    | src.experiments.save_run | Run finished: phase=phase_3 name=combinations_partial_positives dir=runs/phase_3/20260503_2156_combinations_partial_positives
