2026-05-04 02:36:33 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (lightgbm, classification): auc_roc=0.5401, pr_auc=0.8318, log_loss=0.5707, f1=0.8416
2026-05-04 02:36:34 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (lightgbm, classification): auc_roc=0.6592, pr_auc=0.8810, log_loss=0.5181, f1=0.8643
2026-05-04 02:36:35 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (lightgbm, classification): auc_roc=0.5546, pr_auc=0.8239, log_loss=0.5982, f1=0.7979
2026-05-04 02:36:36 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (lightgbm, classification): auc_roc=0.6554, pr_auc=0.8792, log_loss=0.5178, f1=0.8750
2026-05-04 02:36:38 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=lightgbm target=roi_gt_1 OOF=auc_roc=0.6052, f1=0.8577, log_loss=0.5389, pr_auc=0.8522 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_child_samples': 10, 'model__num_leaves': 15}
2026-05-04 02:36:38 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five_mpnet family=lightgbm target=roi_gt_2 task=classification
2026-05-04 02:36:38 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=lightgbm task=classification X.shape=(1199, 127)
2026-05-04 02:36:54 | INFO    | src.models.phase4.cv | Inner CV best: family=lightgbm task=classification score=0.6329 params={'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__min_child_samples': 30, 'model__num_leaves': 31}
2026-05-04 02:36:54 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=lightgbm task=classification
2026-05-04 02:36:54 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (lightgbm, classification): auc_roc=0.6226, pr_auc=0.7214, log_loss=0.7529, f1=0.7432
2026-05-04 02:36:55 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (lightgbm, classification): auc_roc=0.5822, pr_auc=0.7106, log_loss=0.7973, f1=0.7343
2026-05-04 02:36:56 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (lightgbm, classification): auc_roc=0.6805, pr_auc=0.8036, log_loss=0.6767, f1=0.7493
2026-05-04 02:36:57 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (lightgbm, classification): auc_roc=0.6459, pr_auc=0.7397, log_loss=0.7070, f1=0.7469
