2026-05-03 23:46:43 | INFO    | src.experiments.save_run | Run started: phase=phase_4 name=standalone_positive_union_linear dir=runs/phase_4/20260503_2346_standalone_positive_union_linear
2026-05-03 23:46:43 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=linear target=log_roi task=regression
2026-05-03 23:46:43 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=regression X.shape=(1199, 92)
2026-05-03 23:46:44 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=regression score=-1.3384 params={'model__alpha': np.float64(1000.0)}
2026-05-03 23:46:44 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=regression
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, regression): mse=1.3952, rmse=1.1812, mae=0.8705, cvrmse=0.9256
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, regression): mse=1.7635, rmse=1.3280, mae=0.9460, cvrmse=0.9475
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, regression): mse=1.7856, rmse=1.3363, mae=0.9528, cvrmse=1.0143
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, regression): mse=1.8195, rmse=1.3489, mae=0.9701, cvrmse=0.9802
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, regression): mse=2.2424, rmse=1.4975, mae=0.9878, cvrmse=1.0963
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, regression): mse=1.3687, rmse=1.1699, mae=0.9044, cvrmse=0.8781
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, regression): mse=2.4305, rmse=1.5590, mae=0.9465, cvrmse=1.1354
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, regression): mse=1.6273, rmse=1.2757, mae=0.9384, cvrmse=0.9680
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, regression): mse=1.6596, rmse=1.2883, mae=0.9366, cvrmse=0.9809
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, regression): mse=1.9772, rmse=1.4061, mae=1.0151, cvrmse=1.0039
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, regression): mse=1.9504, rmse=1.3966, mae=1.0203, cvrmse=0.9723
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, regression): mse=1.6628, rmse=1.2895, mae=0.9705, cvrmse=0.9622
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, regression): mse=2.3210, rmse=1.5235, mae=0.9574, cvrmse=1.1356
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, regression): mse=1.6034, rmse=1.2663, mae=0.8645, cvrmse=1.0029
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, regression): mse=1.4637, rmse=1.2098, mae=0.9118, cvrmse=0.8919
2026-05-03 23:46:44 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=linear target=log_roi OOF=cvrmse=0.9960, mae=0.9445, mse=1.8011, rmse=1.3421 inner_best_params={'model__alpha': np.float64(1000.0)}
2026-05-03 23:46:44 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=linear target=roi_gt_1 task=classification
2026-05-03 23:46:44 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1199, 92)
2026-05-03 23:46:44 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.5862 params={'model__C': np.float64(316.22776601683796)}
2026-05-03 23:46:44 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, classification): auc_roc=0.5531, pr_auc=0.8453, log_loss=0.7495, f1=0.7118
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, classification): auc_roc=0.5630, pr_auc=0.8542, log_loss=0.7295, f1=0.7147
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, classification): auc_roc=0.6778, pr_auc=0.8773, log_loss=0.6916, f1=0.7560
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, classification): auc_roc=0.5753, pr_auc=0.8308, log_loss=0.7214, f1=0.7126
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, classification): auc_roc=0.5617, pr_auc=0.8612, log_loss=0.7356, f1=0.6909
2026-05-03 23:46:44 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, classification): auc_roc=0.6252, pr_auc=0.8694, log_loss=0.6787, f1=0.7030
2026-05-03 23:46:45 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, classification): auc_roc=0.5800, pr_auc=0.8544, log_loss=0.7440, f1=0.6988
2026-05-03 23:46:45 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, classification): auc_roc=0.5905, pr_auc=0.8279, log_loss=0.8062, f1=0.6831
2026-05-03 23:46:45 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, classification): auc_roc=0.5571, pr_auc=0.8423, log_loss=0.7645, f1=0.6909
2026-05-03 23:46:45 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, classification): auc_roc=0.6282, pr_auc=0.8688, log_loss=0.6527, f1=0.7600
2026-05-03 23:46:45 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, classification): auc_roc=0.5564, pr_auc=0.8385, log_loss=0.7090, f1=0.7059
2026-05-03 23:46:45 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, classification): auc_roc=0.6489, pr_auc=0.8936, log_loss=0.7306, f1=0.7246
