2026-05-04 14:30:34 | INFO    | src.experiments.save_run | Run started: phase=phase_4_v2 name=standalone_positive_union_linear dir=runs/phase_4_v2/20260504_1430_standalone_positive_union_linear
2026-05-04 14:30:34 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=linear target=log_roi task=regression
2026-05-04 14:30:34 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=regression X.shape=(1460, 92)
2026-05-04 14:30:34 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=regression score=-1.3530 params={'model__alpha': np.float64(1000.0)}
2026-05-04 14:30:34 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=regression
2026-05-04 14:30:34 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, regression): mse=2.0139, rmse=1.4191, mae=1.0159, cvrmse=1.0587
2026-05-04 14:30:34 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, regression): mse=1.7719, rmse=1.3311, mae=0.9849, cvrmse=1.0166
2026-05-04 14:30:34 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, regression): mse=1.6948, rmse=1.3018, mae=0.9774, cvrmse=0.9507
2026-05-04 14:30:34 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, regression): mse=1.6752, rmse=1.2943, mae=0.9541, cvrmse=0.9908
2026-05-04 14:30:34 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, regression): mse=2.0120, rmse=1.4184, mae=1.0284, cvrmse=1.0444
2026-05-04 14:30:34 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, regression): mse=1.8720, rmse=1.3682, mae=0.9906, cvrmse=0.9960
2026-05-04 14:30:34 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, regression): mse=1.5813, rmse=1.2575, mae=0.9268, cvrmse=1.0079
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, regression): mse=2.1467, rmse=1.4652, mae=1.0478, cvrmse=1.1008
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, regression): mse=1.6242, rmse=1.2744, mae=0.9450, cvrmse=0.9527
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, regression): mse=1.9137, rmse=1.3834, mae=1.0374, cvrmse=0.9927
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, regression): mse=1.5855, rmse=1.2592, mae=0.9310, cvrmse=0.9384
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, regression): mse=1.9935, rmse=1.4119, mae=1.0126, cvrmse=1.0248
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, regression): mse=1.9671, rmse=1.4025, mae=1.0258, cvrmse=1.0311
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, regression): mse=1.8112, rmse=1.3458, mae=0.9935, cvrmse=0.9971
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, regression): mse=1.8032, rmse=1.3428, mae=1.0049, cvrmse=1.0707
2026-05-04 14:30:35 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=linear target=log_roi OOF=cvrmse=1.0112, mae=0.9905, mse=1.8270, rmse=1.3516 inner_best_params={'model__alpha': np.float64(1000.0)}
2026-05-04 14:30:35 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=linear target=roi_gt_1 task=classification
2026-05-04 14:30:35 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1460, 92)
2026-05-04 14:30:35 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.5890 params={'model__C': np.float64(0.001)}
2026-05-04 14:30:35 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
2026-05-04 14:30:35 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, classification): auc_roc=0.5970, pr_auc=0.8456, log_loss=0.6749, f1=0.6851
