2026-05-03 20:16:18 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | log_roi | cvrmse = 1.0208 [CI 0.9504, 1.0987]
2026-05-03 20:16:21 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | roi_gt_1 | auc_roc = 0.5545 [CI 0.5131, 0.5970]
2026-05-03 20:16:21 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | roi_gt_1 | pr_auc = 0.8414 [CI 0.8136, 0.8678]
2026-05-03 20:16:21 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | roi_gt_1 | log_loss = 0.6075 [CI 0.5006, 0.7329]
2026-05-03 20:16:21 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | roi_gt_1 | f1 = 0.8943 [CI 0.8810, 0.9089]
2026-05-03 20:16:25 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | roi_gt_2 | auc_roc = 0.5254 [CI 0.4941, 0.5595]
2026-05-03 20:16:25 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | roi_gt_2 | pr_auc = 0.6751 [CI 0.6408, 0.7145]
2026-05-03 20:16:25 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | roi_gt_2 | log_loss = 0.6684 [CI 0.6468, 0.6888]
2026-05-03 20:16:25 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | roi_gt_2 | f1 = 0.7436 [CI 0.7218, 0.7657]
2026-05-03 20:16:26 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | svm | train | log_roi | mse = 1.3704
2026-05-03 20:16:26 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | svm | train | log_roi | rmse = 1.1707
2026-05-03 20:16:26 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | svm | train | log_roi | mae = 0.7326
2026-05-03 20:16:26 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | svm | train | log_roi | cvrmse = 0.8688
2026-05-03 20:16:26 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | svm | oof   | log_roi | mse = 1.8522 [CI 1.5339, 2.2527]
2026-05-03 20:16:26 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | svm | oof   | log_roi | rmse = 1.3609 [CI 1.2385, 1.5009]
2026-05-03 20:16:26 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | svm | oof   | log_roi | mae = 0.9622 [CI 0.9094, 1.0171]
2026-05-03 20:16:26 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | svm | oof   | log_roi | cvrmse = 1.0100 [CI 0.9335, 1.0944]
2026-05-03 20:16:29 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | svm | oof   | roi_gt_1 | auc_roc = 0.5561 [CI 0.5146, 0.5959]
2026-05-03 20:16:29 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | svm | oof   | roi_gt_1 | pr_auc = 0.8384 [CI 0.8117, 0.8681]
2026-05-03 20:16:29 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | svm | oof   | roi_gt_1 | f1 = 0.8934 [CI 0.8800, 0.9080]
2026-05-03 20:16:32 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | svm | oof   | roi_gt_2 | auc_roc = 0.5402 [CI 0.5084, 0.5738]
2026-05-03 20:16:32 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | svm | oof   | roi_gt_2 | pr_auc = 0.6769 [CI 0.6422, 0.7179]
2026-05-03 20:16:32 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | svm | oof   | roi_gt_2 | f1 = 0.7786 [CI 0.7588, 0.7984]
2026-05-03 20:16:32 | INFO    | __main__ | Ablation table written: 288 rows total
2026-05-03 20:16:32 | INFO    | src.experiments.save_run | Run finished: phase=phase_3 name=topic_multifamily dir=runs/phase_3/20260503_2015_topic_multifamily
