2026-05-04 02:20:31 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (xgboost, classification): auc_roc=0.5543, pr_auc=0.8240, log_loss=0.5429, f1=0.8586
2026-05-04 02:20:33 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (xgboost, classification): auc_roc=0.5577, pr_auc=0.8410, log_loss=0.5481, f1=0.8515
2026-05-04 02:20:34 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (xgboost, classification): auc_roc=0.5557, pr_auc=0.8440, log_loss=0.5441, f1=0.8366
2026-05-04 02:20:38 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=xgboost target=roi_gt_1 OOF=auc_roc=0.5667, f1=0.8655, log_loss=0.5246, pr_auc=0.8381 inner_best_params={'model__learning_rate': 0.03, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__reg_lambda': 10.0}
2026-05-04 02:20:38 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=xgboost target=roi_gt_2 task=classification
2026-05-04 02:20:38 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=xgboost task=classification X.shape=(1199, 127)
2026-05-04 02:21:22 | INFO    | src.models.phase4.cv | Inner CV best: family=xgboost task=classification score=0.6137 params={'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__reg_lambda': 1.0}
2026-05-04 02:21:22 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=xgboost task=classification
2026-05-04 02:21:24 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (xgboost, classification): auc_roc=0.6175, pr_auc=0.7306, log_loss=0.7339, f1=0.7339
2026-05-04 02:21:27 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (xgboost, classification): auc_roc=0.6099, pr_auc=0.7132, log_loss=0.7418, f1=0.7353
2026-05-04 02:21:29 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (xgboost, classification): auc_roc=0.6404, pr_auc=0.7608, log_loss=0.7123, f1=0.7529
2026-05-04 02:21:31 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (xgboost, classification): auc_roc=0.6226, pr_auc=0.7405, log_loss=0.7195, f1=0.7300
2026-05-04 02:21:33 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (xgboost, classification): auc_roc=0.5779, pr_auc=0.7173, log_loss=0.8249, f1=0.6916
2026-05-04 02:21:35 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (xgboost, classification): auc_roc=0.5807, pr_auc=0.7209, log_loss=0.7881, f1=0.7278
2026-05-04 02:21:37 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (xgboost, classification): auc_roc=0.6134, pr_auc=0.7231, log_loss=0.7115, f1=0.7378
2026-05-04 02:21:39 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (xgboost, classification): auc_roc=0.5992, pr_auc=0.7329, log_loss=0.7710, f1=0.7305
2026-05-04 02:21:41 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (xgboost, classification): auc_roc=0.5485, pr_auc=0.7061, log_loss=0.7981, f1=0.7320
2026-05-04 02:21:43 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (xgboost, classification): auc_roc=0.6481, pr_auc=0.7652, log_loss=0.6789, f1=0.7619
2026-05-04 02:21:45 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (xgboost, classification): auc_roc=0.5773, pr_auc=0.7092, log_loss=0.8015, f1=0.7193
2026-05-04 02:21:47 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (xgboost, classification): auc_roc=0.5566, pr_auc=0.7015, log_loss=0.8140, f1=0.7126
2026-05-04 02:21:49 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (xgboost, classification): auc_roc=0.5714, pr_auc=0.7254, log_loss=0.7931, f1=0.6985
2026-05-04 02:21:51 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (xgboost, classification): auc_roc=0.5876, pr_auc=0.7207, log_loss=0.7803, f1=0.7202
2026-05-04 02:21:53 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (xgboost, classification): auc_roc=0.5751, pr_auc=0.6855, log_loss=0.7936, f1=0.7108
2026-05-04 02:21:57 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=xgboost target=roi_gt_2 OOF=auc_roc=0.6043, f1=0.7388, log_loss=0.7132, pr_auc=0.7251 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__reg_lambda': 1.0}
2026-05-04 02:21:57 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=all_five_xgboost dir=runs/phase_4/20260504_0218_all_five_xgboost
