2026-05-03 18:11:29 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | knn | oof   | log_roi | cvrmse = 1.0235 [CI 0.9488, 1.1001]
2026-05-03 18:11:33 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | knn | oof   | roi_gt_1 | auc_roc = 0.4942 [CI 0.4562, 0.5358]
2026-05-03 18:11:33 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | knn | oof   | roi_gt_1 | pr_auc = 0.8150 [CI 0.7885, 0.8469]
2026-05-03 18:11:33 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | knn | oof   | roi_gt_1 | log_loss = 0.5967 [CI 0.5067, 0.7162]
2026-05-03 18:11:33 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | knn | oof   | roi_gt_1 | f1 = 0.8934 [CI 0.8799, 0.9085]
2026-05-03 18:11:36 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | knn | oof   | roi_gt_2 | auc_roc = 0.5480 [CI 0.5162, 0.5811]
2026-05-03 18:11:36 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | knn | oof   | roi_gt_2 | pr_auc = 0.7027 [CI 0.6725, 0.7405]
2026-05-03 18:11:36 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | knn | oof   | roi_gt_2 | log_loss = 0.6600 [CI 0.6378, 0.6777]
2026-05-03 18:11:36 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | knn | oof   | roi_gt_2 | f1 = 0.7457 [CI 0.7252, 0.7688]
2026-05-03 18:11:37 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | svm | train | log_roi | mse = 1.4268
2026-05-03 18:11:37 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | svm | train | log_roi | rmse = 1.1945
2026-05-03 18:11:37 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | svm | train | log_roi | mae = 0.7524
2026-05-03 18:11:37 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | svm | train | log_roi | cvrmse = 0.8865
2026-05-03 18:11:37 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | svm | oof   | log_roi | mse = 1.8260 [CI 1.5218, 2.1882]
2026-05-03 18:11:37 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | svm | oof   | log_roi | rmse = 1.3513 [CI 1.2336, 1.4793]
2026-05-03 18:11:37 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | svm | oof   | log_roi | mae = 0.9472 [CI 0.8944, 0.9991]
2026-05-03 18:11:37 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | svm | oof   | log_roi | cvrmse = 1.0029 [CI 0.9264, 1.0792]
2026-05-03 18:11:40 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | svm | oof   | roi_gt_1 | auc_roc = 0.5186 [CI 0.4787, 0.5596]
2026-05-03 18:11:40 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | svm | oof   | roi_gt_1 | pr_auc = 0.8196 [CI 0.7909, 0.8514]
2026-05-03 18:11:40 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | svm | oof   | roi_gt_1 | f1 = 0.8934 [CI 0.8800, 0.9080]
2026-05-03 18:11:44 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | svm | oof   | roi_gt_2 | auc_roc = 0.5651 [CI 0.5328, 0.5997]
2026-05-03 18:11:44 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | svm | oof   | roi_gt_2 | pr_auc = 0.6899 [CI 0.6536, 0.7273]
2026-05-03 18:11:44 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | svm | oof   | roi_gt_2 | f1 = 0.7747 [CI 0.7552, 0.7947]
2026-05-03 18:11:44 | INFO    | __main__ | Ablation table written: 0 rows total
2026-05-03 18:11:44 | INFO    | src.experiments.save_run | Run finished: phase=phase_3 name=lexical_multifamily dir=runs/phase_3/20260503_1811_lexical_multifamily
