2026-05-04 14:30:53 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.6398, pr_auc=0.8527, log_loss=0.6674, f1=0.6857
2026-05-04 14:30:53 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.6454, pr_auc=0.8432, log_loss=0.6543, f1=0.7376
2026-05-04 14:30:53 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.5840, pr_auc=0.8447, log_loss=0.6790, f1=0.6718
2026-05-04 14:30:55 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=histgb target=roi_gt_1 OOF=auc_roc=0.6276, f1=0.7325, log_loss=0.6595, pr_auc=0.8508 inner_best_params={'model__learning_rate': 0.02, 'model__max_depth': 4, 'model__min_samples_leaf': 80}
2026-05-04 14:30:55 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=histgb target=roi_gt_2 task=classification
2026-05-04 14:30:55 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=histgb task=classification X.shape=(1460, 92)
2026-05-04 14:30:59 | INFO    | src.models.phase4.cv | Inner CV best: family=histgb task=classification score=0.5969 params={'model__learning_rate': 0.02, 'model__max_depth': 4, 'model__min_samples_leaf': 10}
2026-05-04 14:30:59 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=histgb task=classification
2026-05-04 14:30:59 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (histgb, classification): auc_roc=0.5855, pr_auc=0.7161, log_loss=0.6849, f1=0.5508
2026-05-04 14:30:59 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (histgb, classification): auc_roc=0.5971, pr_auc=0.7183, log_loss=0.6743, f1=0.6310
2026-05-04 14:30:59 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (histgb, classification): auc_roc=0.5399, pr_auc=0.6693, log_loss=0.6844, f1=0.5791
2026-05-04 14:31:00 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (histgb, classification): auc_roc=0.6590, pr_auc=0.7305, log_loss=0.6792, f1=0.5157
2026-05-04 14:31:00 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (histgb, classification): auc_roc=0.6032, pr_auc=0.7114, log_loss=0.6709, f1=0.6453
2026-05-04 14:31:01 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (histgb, classification): auc_roc=0.5520, pr_auc=0.6929, log_loss=0.6864, f1=0.5804
2026-05-04 14:31:01 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (histgb, classification): auc_roc=0.6312, pr_auc=0.7612, log_loss=0.6658, f1=0.6272
2026-05-04 14:31:01 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (histgb, classification): auc_roc=0.6145, pr_auc=0.6948, log_loss=0.6784, f1=0.6485
2026-05-04 14:31:02 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (histgb, classification): auc_roc=0.5824, pr_auc=0.6822, log_loss=0.6835, f1=0.5868
2026-05-04 14:31:02 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (histgb, classification): auc_roc=0.5545, pr_auc=0.6765, log_loss=0.6842, f1=0.6018
2026-05-04 14:31:02 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (histgb, classification): auc_roc=0.6041, pr_auc=0.7204, log_loss=0.6770, f1=0.6589
2026-05-04 14:31:02 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (histgb, classification): auc_roc=0.5705, pr_auc=0.6857, log_loss=0.6769, f1=0.5776
2026-05-04 14:31:03 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.6123, pr_auc=0.7381, log_loss=0.6749, f1=0.5302
2026-05-04 14:31:03 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.6113, pr_auc=0.7309, log_loss=0.6674, f1=0.6163
2026-05-04 14:31:03 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.5516, pr_auc=0.6745, log_loss=0.6836, f1=0.5935
2026-05-04 14:31:06 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=histgb target=roi_gt_2 OOF=auc_roc=0.6036, f1=0.6092, log_loss=0.6750, pr_auc=0.7059 inner_best_params={'model__learning_rate': 0.02, 'model__max_depth': 4, 'model__min_samples_leaf': 10}
2026-05-04 14:31:06 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=standalone_positive_union_histgb dir=runs/phase_4_v2/20260504_1430_standalone_positive_union_histgb
