2026-05-04 02:34:46 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (random_forest, classification): auc_roc=0.5538, pr_auc=0.8325, log_loss=0.4859, f1=0.8940
2026-05-04 02:34:48 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (random_forest, classification): auc_roc=0.5960, pr_auc=0.8708, log_loss=0.4797, f1=0.8961
2026-05-04 02:34:49 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (random_forest, classification): auc_roc=0.6210, pr_auc=0.8796, log_loss=0.4685, f1=0.8961
2026-05-04 02:34:53 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=random_forest target=roi_gt_1 OOF=auc_roc=0.5862, f1=0.8942, log_loss=0.4789, pr_auc=0.8533 inner_best_params={'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}
2026-05-04 02:34:53 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five_mpnet family=random_forest target=roi_gt_2 task=classification
2026-05-04 02:34:53 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=random_forest task=classification X.shape=(1199, 127)
2026-05-04 02:35:08 | INFO    | src.models.phase4.cv | Inner CV best: family=random_forest task=classification score=0.6296 params={'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}
2026-05-04 02:35:08 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=random_forest task=classification
2026-05-04 02:35:10 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (random_forest, classification): auc_roc=0.5999, pr_auc=0.6942, log_loss=0.6469, f1=0.7793
2026-05-04 02:35:11 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (random_forest, classification): auc_roc=0.6146, pr_auc=0.7272, log_loss=0.6337, f1=0.7792
2026-05-04 02:35:13 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (random_forest, classification): auc_roc=0.6623, pr_auc=0.7745, log_loss=0.6195, f1=0.7745
2026-05-04 02:35:14 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (random_forest, classification): auc_roc=0.6502, pr_auc=0.7597, log_loss=0.6207, f1=0.7968
2026-05-04 02:35:16 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (random_forest, classification): auc_roc=0.6209, pr_auc=0.7554, log_loss=0.6310, f1=0.7738
2026-05-04 02:35:17 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (random_forest, classification): auc_roc=0.5928, pr_auc=0.7181, log_loss=0.6479, f1=0.7757
2026-05-04 02:35:19 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (random_forest, classification): auc_roc=0.6581, pr_auc=0.7585, log_loss=0.6241, f1=0.7787
2026-05-04 02:35:21 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (random_forest, classification): auc_roc=0.6339, pr_auc=0.7645, log_loss=0.6235, f1=0.7798
2026-05-04 02:35:22 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (random_forest, classification): auc_roc=0.5803, pr_auc=0.7030, log_loss=0.6420, f1=0.7801
2026-05-04 02:35:24 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (random_forest, classification): auc_roc=0.6304, pr_auc=0.7339, log_loss=0.6307, f1=0.7978
2026-05-04 02:35:25 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (random_forest, classification): auc_roc=0.5664, pr_auc=0.6945, log_loss=0.6543, f1=0.7778
2026-05-04 02:35:27 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (random_forest, classification): auc_roc=0.5982, pr_auc=0.7311, log_loss=0.6402, f1=0.7579
2026-05-04 02:35:28 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (random_forest, classification): auc_roc=0.6216, pr_auc=0.7729, log_loss=0.6270, f1=0.7863
2026-05-04 02:35:30 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (random_forest, classification): auc_roc=0.6795, pr_auc=0.7921, log_loss=0.6125, f1=0.7853
2026-05-04 02:35:32 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (random_forest, classification): auc_roc=0.5730, pr_auc=0.6822, log_loss=0.6439, f1=0.7671
2026-05-04 02:35:36 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=random_forest target=roi_gt_2 OOF=auc_roc=0.6240, f1=0.7815, log_loss=0.6317, pr_auc=0.7364 inner_best_params={'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}
2026-05-04 02:35:36 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=all_five_mpnet_random_forest dir=runs/phase_4/20260504_0229_all_five_mpnet_random_forest
