2026-05-04 14:26:54 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (lightgbm, classification): auc_roc=0.5927, pr_auc=0.8435, log_loss=0.6303, f1=0.7506
2026-05-04 14:26:54 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (lightgbm, classification): auc_roc=0.6229, pr_auc=0.8467, log_loss=0.6094, f1=0.8168
2026-05-04 14:26:54 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (lightgbm, classification): auc_roc=0.6098, pr_auc=0.8215, log_loss=0.6298, f1=0.7739
2026-05-04 14:26:54 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (lightgbm, classification): auc_roc=0.5969, pr_auc=0.8550, log_loss=0.6286, f1=0.7393
2026-05-04 14:26:57 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=lightgbm target=roi_gt_1 OOF=auc_roc=0.5993, f1=0.7738, log_loss=0.6236, pr_auc=0.8367 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_samples': 30, 'model__num_leaves': 15}
2026-05-04 14:26:57 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=lightgbm target=roi_gt_2 task=classification
2026-05-04 14:26:57 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=lightgbm task=classification X.shape=(1460, 127)
2026-05-04 14:27:13 | INFO    | src.models.phase4.cv | Inner CV best: family=lightgbm task=classification score=0.5983 params={'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_child_samples': 30, 'model__num_leaves': 31}
2026-05-04 14:27:13 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=lightgbm task=classification
2026-05-04 14:27:14 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (lightgbm, classification): auc_roc=0.5927, pr_auc=0.7067, log_loss=0.6704, f1=0.6301
2026-05-04 14:27:15 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (lightgbm, classification): auc_roc=0.6114, pr_auc=0.7071, log_loss=0.6680, f1=0.6817
