2026-05-04 14:53:55 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.6346, pr_auc=0.8475, log_loss=0.6723, f1=0.7139
2026-05-04 14:53:55 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.5810, pr_auc=0.8085, log_loss=0.6685, f1=0.6752
2026-05-04 14:53:55 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.5401, pr_auc=0.8089, log_loss=0.6882, f1=0.5785
2026-05-04 14:53:57 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=histgb target=roi_gt_1 OOF=auc_roc=0.6065, f1=0.6944, log_loss=0.6684, pr_auc=0.8366 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_samples_leaf': 80}
2026-05-04 14:53:57 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=histgb target=roi_gt_2 task=classification
2026-05-04 14:53:57 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=histgb task=classification X.shape=(1460, 92)
2026-05-04 14:54:00 | INFO    | src.models.phase4.cv | Inner CV best: family=histgb task=classification score=0.5969 params={'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__min_samples_leaf': 20}
2026-05-04 14:54:00 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=histgb task=classification
2026-05-04 14:54:00 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (histgb, classification): auc_roc=0.6193, pr_auc=0.7264, log_loss=0.6760, f1=0.5894
2026-05-04 14:54:01 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (histgb, classification): auc_roc=0.5568, pr_auc=0.6816, log_loss=0.6822, f1=0.6168
2026-05-04 14:54:01 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (histgb, classification): auc_roc=0.5299, pr_auc=0.6677, log_loss=0.6981, f1=0.5976
2026-05-04 14:54:01 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (histgb, classification): auc_roc=0.6617, pr_auc=0.7229, log_loss=0.6681, f1=0.5286
2026-05-04 14:54:01 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (histgb, classification): auc_roc=0.6167, pr_auc=0.7350, log_loss=0.6621, f1=0.6386
2026-05-04 14:54:01 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (histgb, classification): auc_roc=0.5437, pr_auc=0.6900, log_loss=0.6889, f1=0.5517
2026-05-04 14:54:01 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (histgb, classification): auc_roc=0.6009, pr_auc=0.7347, log_loss=0.6717, f1=0.6154
2026-05-04 14:54:01 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (histgb, classification): auc_roc=0.6147, pr_auc=0.7216, log_loss=0.6686, f1=0.6261
2026-05-04 14:54:02 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (histgb, classification): auc_roc=0.5467, pr_auc=0.6822, log_loss=0.6832, f1=0.5933
2026-05-04 14:54:02 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (histgb, classification): auc_roc=0.5957, pr_auc=0.7159, log_loss=0.6758, f1=0.5909
2026-05-04 14:54:02 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (histgb, classification): auc_roc=0.5872, pr_auc=0.6876, log_loss=0.6781, f1=0.6049
2026-05-04 14:54:02 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (histgb, classification): auc_roc=0.5593, pr_auc=0.6853, log_loss=0.6806, f1=0.5687
2026-05-04 14:54:02 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.5689, pr_auc=0.7078, log_loss=0.6733, f1=0.5017
2026-05-04 14:54:02 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.6245, pr_auc=0.7311, log_loss=0.6758, f1=0.4569
2026-05-04 14:54:02 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.5632, pr_auc=0.6932, log_loss=0.6805, f1=0.6042
2026-05-04 14:54:04 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=histgb target=roi_gt_2 OOF=auc_roc=0.5935, f1=0.5829, log_loss=0.6742, pr_auc=0.7073 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__min_samples_leaf': 20}
2026-05-04 14:54:04 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=standalone_positive_union_mpnet_histgb dir=runs/phase_4_v2/20260504_1453_standalone_positive_union_mpnet_histgb
