2026-05-04 02:17:54 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (lightgbm, classification): auc_roc=0.5592, pr_auc=0.8411, log_loss=0.5401, f1=0.8495
2026-05-04 02:17:55 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (lightgbm, classification): auc_roc=0.5188, pr_auc=0.8090, log_loss=0.5686, f1=0.8529
2026-05-04 02:17:56 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (lightgbm, classification): auc_roc=0.5132, pr_auc=0.8276, log_loss=0.5639, f1=0.8416
2026-05-04 02:17:58 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (lightgbm, classification): auc_roc=0.5781, pr_auc=0.8595, log_loss=0.5286, f1=0.8725
2026-05-04 02:18:01 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=lightgbm target=roi_gt_1 OOF=auc_roc=0.5782, f1=0.8672, log_loss=0.5254, pr_auc=0.8398 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_child_samples': 10, 'model__num_leaves': 31}
2026-05-04 02:18:01 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=lightgbm target=roi_gt_2 task=classification
2026-05-04 02:18:01 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=lightgbm task=classification X.shape=(1199, 127)
2026-05-04 02:18:16 | INFO    | src.models.phase4.cv | Inner CV best: family=lightgbm task=classification score=0.6153 params={'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_child_samples': 30, 'model__num_leaves': 15}
2026-05-04 02:18:16 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=lightgbm task=classification
2026-05-04 02:18:17 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (lightgbm, classification): auc_roc=0.6089, pr_auc=0.7002, log_loss=0.6743, f1=0.6951
2026-05-04 02:18:17 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (lightgbm, classification): auc_roc=0.5786, pr_auc=0.6807, log_loss=0.6710, f1=0.7210
2026-05-04 02:18:18 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (lightgbm, classification): auc_roc=0.6425, pr_auc=0.7740, log_loss=0.6373, f1=0.7013
2026-05-04 02:18:19 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (lightgbm, classification): auc_roc=0.6222, pr_auc=0.7460, log_loss=0.6509, f1=0.6776
2026-05-04 02:18:19 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (lightgbm, classification): auc_roc=0.6241, pr_auc=0.7599, log_loss=0.6563, f1=0.6779
2026-05-04 02:18:20 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (lightgbm, classification): auc_roc=0.6130, pr_auc=0.7392, log_loss=0.6610, f1=0.6797
2026-05-04 02:18:21 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (lightgbm, classification): auc_roc=0.6078, pr_auc=0.7320, log_loss=0.6582, f1=0.6600
2026-05-04 02:18:21 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (lightgbm, classification): auc_roc=0.6198, pr_auc=0.7332, log_loss=0.6519, f1=0.7256
2026-05-04 02:18:22 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (lightgbm, classification): auc_roc=0.5334, pr_auc=0.6857, log_loss=0.6897, f1=0.6709
2026-05-04 02:18:23 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (lightgbm, classification): auc_roc=0.6084, pr_auc=0.7468, log_loss=0.6588, f1=0.6644
2026-05-04 02:18:24 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (lightgbm, classification): auc_roc=0.5724, pr_auc=0.7176, log_loss=0.6766, f1=0.7111
2026-05-04 02:18:24 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (lightgbm, classification): auc_roc=0.5809, pr_auc=0.7111, log_loss=0.6787, f1=0.6839
2026-05-04 02:18:25 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (lightgbm, classification): auc_roc=0.5680, pr_auc=0.7175, log_loss=0.6783, f1=0.6901
2026-05-04 02:18:26 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (lightgbm, classification): auc_roc=0.6250, pr_auc=0.7486, log_loss=0.6470, f1=0.7138
2026-05-04 02:18:26 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (lightgbm, classification): auc_roc=0.5658, pr_auc=0.6787, log_loss=0.6889, f1=0.6799
2026-05-04 02:18:29 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=lightgbm target=roi_gt_2 OOF=auc_roc=0.6107, f1=0.7017, log_loss=0.6555, pr_auc=0.7271 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_child_samples': 30, 'model__num_leaves': 15}
2026-05-04 02:18:29 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=all_five_lightgbm dir=runs/phase_4/20260504_0217_all_five_lightgbm
