2026-05-03 23:57:47 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (lasso, classification): auc_roc=0.4991, pr_auc=0.8177, log_loss=0.8791, f1=0.6707
2026-05-03 23:57:47 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (lasso, classification): auc_roc=0.6588, pr_auc=0.8915, log_loss=0.6819, f1=0.7327
2026-05-03 23:57:49 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=lasso target=roi_gt_1 OOF=auc_roc=0.5777, f1=0.7228, log_loss=0.7465, pr_auc=0.8461 inner_best_params={'model__C': np.float64(10.0)}
2026-05-03 23:57:49 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=lasso target=roi_gt_2 task=classification
2026-05-03 23:57:49 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=lasso task=classification X.shape=(1199, 127)
2026-05-03 23:57:57 | INFO    | src.models.phase4.cv | Inner CV best: family=lasso task=classification score=0.6106 params={'model__C': np.float64(0.31622776601683794)}
2026-05-03 23:57:57 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=lasso task=classification
2026-05-03 23:57:57 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (lasso, classification): auc_roc=0.6174, pr_auc=0.7330, log_loss=0.6767, f1=0.6784
2026-05-03 23:57:57 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (lasso, classification): auc_roc=0.5812, pr_auc=0.7018, log_loss=0.7029, f1=0.6192
2026-05-03 23:57:57 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (lasso, classification): auc_roc=0.6349, pr_auc=0.7740, log_loss=0.6611, f1=0.6713
2026-05-03 23:57:57 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (lasso, classification): auc_roc=0.6169, pr_auc=0.7410, log_loss=0.6936, f1=0.6282
2026-05-03 23:57:58 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (lasso, classification): auc_roc=0.6026, pr_auc=0.7176, log_loss=0.7189, f1=0.6667
2026-05-03 23:57:58 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (lasso, classification): auc_roc=0.6192, pr_auc=0.7465, log_loss=0.6965, f1=0.6667
2026-05-03 23:57:58 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (lasso, classification): auc_roc=0.6362, pr_auc=0.7665, log_loss=0.6893, f1=0.6397
2026-05-03 23:57:58 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (lasso, classification): auc_roc=0.6177, pr_auc=0.7378, log_loss=0.6701, f1=0.6667
2026-05-03 23:57:58 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (lasso, classification): auc_roc=0.5792, pr_auc=0.7106, log_loss=0.7092, f1=0.6312
2026-05-03 23:57:58 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (lasso, classification): auc_roc=0.6021, pr_auc=0.7264, log_loss=0.6966, f1=0.6312
2026-05-03 23:57:58 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (lasso, classification): auc_roc=0.6042, pr_auc=0.7160, log_loss=0.7270, f1=0.6620
2026-05-03 23:57:58 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (lasso, classification): auc_roc=0.5642, pr_auc=0.6930, log_loss=0.7140, f1=0.6414
2026-05-03 23:57:58 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (lasso, classification): auc_roc=0.6162, pr_auc=0.7412, log_loss=0.6845, f1=0.6000
2026-05-03 23:57:58 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (lasso, classification): auc_roc=0.6279, pr_auc=0.7457, log_loss=0.6946, f1=0.6449
2026-05-03 23:57:58 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (lasso, classification): auc_roc=0.5520, pr_auc=0.7095, log_loss=0.7205, f1=0.6175
2026-05-03 23:58:00 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=lasso target=roi_gt_2 OOF=auc_roc=0.6094, f1=0.6450, log_loss=0.6874, pr_auc=0.7282 inner_best_params={'model__C': np.float64(0.31622776601683794)}
2026-05-03 23:58:00 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=all_five_lasso dir=runs/phase_4/20260503_2357_all_five_lasso
