2026-05-04 01:47:50 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (svm_rbf, classification): auc_roc=0.5678, pr_auc=0.8478, f1=0.8223
2026-05-04 01:47:50 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (svm_rbf, classification): auc_roc=0.6479, pr_auc=0.8919, f1=0.8485
2026-05-04 01:47:52 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=svm_rbf target=roi_gt_1 OOF=auc_roc=0.6153, f1=0.8523, pr_auc=0.8712 inner_best_params={'model__C': 3, 'model__gamma': 'scale'}
2026-05-04 01:47:52 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five_mpnet family=svm_rbf target=roi_gt_2 task=classification
2026-05-04 01:47:52 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=svm_rbf task=classification X.shape=(1199, 127)
2026-05-04 01:47:54 | INFO    | src.models.phase4.cv | Inner CV best: family=svm_rbf task=classification score=0.6378 params={'model__C': 3, 'model__gamma': 0.003}
2026-05-04 01:47:54 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=svm_rbf task=classification
2026-05-04 01:47:54 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (svm_rbf, classification): auc_roc=0.6329, pr_auc=0.7372, f1=0.6828
2026-05-04 01:47:54 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (svm_rbf, classification): auc_roc=0.6043, pr_auc=0.7158, f1=0.7176
2026-05-04 01:47:54 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (svm_rbf, classification): auc_roc=0.6855, pr_auc=0.8057, f1=0.6809
2026-05-04 01:47:54 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (svm_rbf, classification): auc_roc=0.6608, pr_auc=0.7580, f1=0.6667
2026-05-04 01:47:54 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (svm_rbf, classification): auc_roc=0.6054, pr_auc=0.7154, f1=0.6736
2026-05-04 01:47:54 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (svm_rbf, classification): auc_roc=0.6571, pr_auc=0.7690, f1=0.7027
2026-05-04 01:47:54 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (svm_rbf, classification): auc_roc=0.6773, pr_auc=0.7884, f1=0.7247
2026-05-04 01:47:55 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (svm_rbf, classification): auc_roc=0.6307, pr_auc=0.7444, f1=0.6759
2026-05-04 01:47:55 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (svm_rbf, classification): auc_roc=0.6084, pr_auc=0.7283, f1=0.6804
2026-05-04 01:47:55 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (svm_rbf, classification): auc_roc=0.6403, pr_auc=0.7610, f1=0.6569
2026-05-04 01:47:55 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (svm_rbf, classification): auc_roc=0.6107, pr_auc=0.7201, f1=0.6690
2026-05-04 01:47:55 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (svm_rbf, classification): auc_roc=0.5863, pr_auc=0.7209, f1=0.6508
2026-05-04 01:47:55 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (svm_rbf, classification): auc_roc=0.6509, pr_auc=0.7718, f1=0.6715
2026-05-04 01:47:55 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (svm_rbf, classification): auc_roc=0.6669, pr_auc=0.7714, f1=0.7143
2026-05-04 01:47:55 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (svm_rbf, classification): auc_roc=0.5837, pr_auc=0.7093, f1=0.6458
2026-05-04 01:47:57 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=svm_rbf target=roi_gt_2 OOF=auc_roc=0.6398, f1=0.6902, pr_auc=0.7488 inner_best_params={'model__C': 3, 'model__gamma': 0.003}
2026-05-04 01:47:57 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=all_five_mpnet_svm_rbf dir=runs/phase_4/20260504_0147_all_five_mpnet_svm_rbf
