2026-05-03 20:25:54 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | knn | oof   | log_roi | cvrmse = 1.0208 [CI 0.9479, 1.0992]
2026-05-03 20:25:58 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | knn | oof   | roi_gt_1 | auc_roc = 0.5436 [CI 0.5046, 0.5854]
2026-05-03 20:25:58 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | knn | oof   | roi_gt_1 | pr_auc = 0.8268 [CI 0.7984, 0.8563]
2026-05-03 20:25:58 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | knn | oof   | roi_gt_1 | log_loss = 0.5845 [CI 0.4944, 0.6964]
2026-05-03 20:25:58 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | knn | oof   | roi_gt_1 | f1 = 0.8948 [CI 0.8815, 0.9094]
2026-05-03 20:26:02 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | knn | oof   | roi_gt_2 | auc_roc = 0.6005 [CI 0.5682, 0.6340]
2026-05-03 20:26:02 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | knn | oof   | roi_gt_2 | pr_auc = 0.7300 [CI 0.6973, 0.7657]
2026-05-03 20:26:02 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | knn | oof   | roi_gt_2 | log_loss = 0.6384 [CI 0.6186, 0.6562]
2026-05-03 20:26:02 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | knn | oof   | roi_gt_2 | f1 = 0.7537 [CI 0.7320, 0.7761]
2026-05-03 20:26:02 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | svm | train | log_roi | mse = 1.3921
2026-05-03 20:26:02 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | svm | train | log_roi | rmse = 1.1799
2026-05-03 20:26:02 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | svm | train | log_roi | mae = 0.7368
2026-05-03 20:26:02 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | svm | train | log_roi | cvrmse = 0.8757
2026-05-03 20:26:03 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | svm | oof   | log_roi | mse = 1.8088 [CI 1.4961, 2.1778]
2026-05-03 20:26:03 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | svm | oof   | log_roi | rmse = 1.3449 [CI 1.2231, 1.4757]
2026-05-03 20:26:03 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | svm | oof   | log_roi | mae = 0.9402 [CI 0.8853, 0.9929]
2026-05-03 20:26:03 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | svm | oof   | log_roi | cvrmse = 0.9981 [CI 0.9223, 1.0766]
2026-05-03 20:26:06 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | svm | oof   | roi_gt_1 | auc_roc = 0.5336 [CI 0.4929, 0.5734]
2026-05-03 20:26:06 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | svm | oof   | roi_gt_1 | pr_auc = 0.8284 [CI 0.7997, 0.8587]
2026-05-03 20:26:06 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | svm | oof   | roi_gt_1 | f1 = 0.8939 [CI 0.8805, 0.9085]
2026-05-03 20:26:09 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | svm | oof   | roi_gt_2 | auc_roc = 0.5949 [CI 0.5620, 0.6294]
2026-05-03 20:26:09 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | svm | oof   | roi_gt_2 | pr_auc = 0.7224 [CI 0.6874, 0.7579]
2026-05-03 20:26:09 | INFO    | src.models.baseline.train | dialogue_only_logged_character_network | svm | oof   | roi_gt_2 | f1 = 0.7845 [CI 0.7652, 0.8039]
2026-05-03 20:26:09 | INFO    | __main__ | Ablation table written: 384 rows total
2026-05-03 20:26:09 | INFO    | src.experiments.save_run | Run finished: phase=phase_3 name=character_network_multifamily dir=runs/phase_3/20260503_2025_character_network_multifamily
