2026-05-04 14:40:13 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.6495, pr_auc=0.8667, log_loss=0.6647, f1=0.6925
2026-05-04 14:40:13 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.5914, pr_auc=0.8205, log_loss=0.6642, f1=0.6819
2026-05-04 14:40:13 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.5839, pr_auc=0.8138, log_loss=0.6797, f1=0.6415
2026-05-04 14:40:15 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=histgb target=roi_gt_1 OOF=auc_roc=0.6122, f1=0.6773, log_loss=0.6640, pr_auc=0.8376 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__min_samples_leaf': 80}
2026-05-04 14:40:15 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five_mpnet family=histgb target=roi_gt_2 task=classification
2026-05-04 14:40:15 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=histgb task=classification X.shape=(1460, 127)
2026-05-04 14:40:18 | INFO    | src.models.phase4.cv | Inner CV best: family=histgb task=classification score=0.5840 params={'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__min_samples_leaf': 40}
2026-05-04 14:40:18 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=histgb task=classification
2026-05-04 14:40:19 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (histgb, classification): auc_roc=0.5755, pr_auc=0.6977, log_loss=0.6852, f1=0.5537
2026-05-04 14:40:19 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (histgb, classification): auc_roc=0.6129, pr_auc=0.6908, log_loss=0.6740, f1=0.6265
2026-05-04 14:40:19 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (histgb, classification): auc_roc=0.5201, pr_auc=0.6630, log_loss=0.6947, f1=0.5598
2026-05-04 14:40:19 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (histgb, classification): auc_roc=0.6285, pr_auc=0.7105, log_loss=0.6737, f1=0.5292
2026-05-04 14:40:20 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (histgb, classification): auc_roc=0.5829, pr_auc=0.7062, log_loss=0.6740, f1=0.6029
