feature_group,model_family,eval_set,target,metric,task,phase_3a_floor,phase_3c_actual,lift,predicted_lift_low,predicted_lift_high,in_predicted_band,ci_lo,ci_hi
topic_plus_cn,knn,oof,roi_gt_2,pr_auc,classification,0.7252,0.6907,-0.0345,,,,0.6568,0.7309
topic_plus_cn,knn,oof,roi_gt_2,log_loss,classification,0.6478,0.6571,0.0093,,,,0.6367,0.6765
topic_plus_cn,knn,oof,roi_gt_2,f1,classification,0.7407,0.757,0.0163,,,,0.7358,0.7783
topic_plus_cn,svm,train,log_roi,mse,regression,1.5507,1.256,-0.2946,,,,0.9755,1.6076
topic_plus_cn,svm,train,log_roi,rmse,regression,1.2453,1.1207,-0.1245,-0.005,0.01,,0.9877,1.2679
topic_plus_cn,svm,train,log_roi,mae,regression,0.8157,0.6807,-0.135,,,,0.6319,0.7319
topic_plus_cn,svm,train,log_roi,cvrmse,regression,0.9242,0.8318,-0.0924,,,,0.7449,0.9243
topic_plus_cn,svm,oof,log_roi,mse,regression,1.8424,1.8277,-0.0147,,,,1.5134,2.206
topic_plus_cn,svm,oof,log_roi,rmse,regression,1.3573,1.3519,-0.0054,-0.005,0.01,,1.2302,1.4852
topic_plus_cn,svm,oof,log_roi,mae,regression,0.9536,0.9567,0.0031,,,,0.9033,1.0113
topic_plus_cn,svm,oof,log_roi,cvrmse,regression,1.0074,1.0033,-0.004,,,,0.9281,1.0839
topic_plus_cn,svm,train,roi_gt_1,auc_roc,classification,0.888,0.9879,0.0999,0.025,0.04,,0.9777,0.9964
topic_plus_cn,svm,train,roi_gt_1,pr_auc,classification,0.965,0.9961,0.0311,,,,0.9923,0.9991
topic_plus_cn,svm,train,roi_gt_1,log_loss,classification,,,,,,,,
topic_plus_cn,svm,train,roi_gt_1,f1,classification,0.8952,0.8944,-0.0008,,,,0.881,0.909
topic_plus_cn,svm,oof,roi_gt_1,auc_roc,classification,0.5043,0.5855,0.0812,0.025,0.04,,0.5475,0.6242
topic_plus_cn,svm,oof,roi_gt_1,pr_auc,classification,0.8314,0.8546,0.0232,,,,0.8305,0.8802
topic_plus_cn,svm,oof,roi_gt_1,log_loss,classification,,,,,,,,
topic_plus_cn,svm,oof,roi_gt_1,f1,classification,0.8939,0.8934,-0.0005,,,,0.88,0.908
topic_plus_cn,svm,train,roi_gt_2,auc_roc,classification,0.8072,0.9277,0.1205,0.015,0.03,,0.911,0.9432
topic_plus_cn,svm,train,roi_gt_2,pr_auc,classification,0.8617,0.9489,0.0872,,,,0.9306,0.9659
topic_plus_cn,svm,train,roi_gt_2,log_loss,classification,,,,,,,,
topic_plus_cn,svm,train,roi_gt_2,f1,classification,0.7898,0.8133,0.0235,,,,0.7964,0.832
topic_plus_cn,svm,oof,roi_gt_2,auc_roc,classification,0.5337,0.5766,0.0428,0.015,0.03,,0.5432,0.6106
topic_plus_cn,svm,oof,roi_gt_2,pr_auc,classification,0.6763,0.7027,0.0264,,,,0.6692,0.7416
topic_plus_cn,svm,oof,roi_gt_2,log_loss,classification,,,,,,,,
topic_plus_cn,svm,oof,roi_gt_2,f1,classification,0.7839,0.7762,-0.0077,,,,0.756,0.7963
semantic_trio,linear,train,log_roi,mse,regression,1.7418,1.6858,-0.056,,,,1.3906,2.0639
semantic_trio,linear,train,log_roi,rmse,regression,1.3198,1.2984,-0.0214,-0.015,0.0,,1.1792,1.4366
semantic_trio,linear,train,log_roi,mae,regression,0.9364,0.9147,-0.0217,,,,0.864,0.9662
semantic_trio,linear,train,log_roi,cvrmse,regression,0.9795,0.9636,-0.0159,,,,0.8891,1.0461
semantic_trio,linear,oof,log_roi,mse,regression,1.7915,1.8032,0.0117,,,,1.4906,2.2
semantic_trio,linear,oof,log_roi,rmse,regression,1.3385,1.3428,0.0044,-0.015,0.0,False,1.2209,1.4833
semantic_trio,linear,oof,log_roi,mae,regression,0.9484,0.9462,-0.0022,,,,0.8949,1.0004
semantic_trio,linear,oof,log_roi,cvrmse,regression,0.9934,0.9966,0.0032,,,,0.9228,1.0795
semantic_trio,linear,train,roi_gt_1,auc_roc,classification,0.6351,0.7311,0.096,0.02,0.035,,0.6965,0.7668
semantic_trio,linear,train,roi_gt_1,pr_auc,classification,0.8821,0.9148,0.0327,,,,0.8971,0.9323
semantic_trio,linear,train,roi_gt_1,log_loss,classification,0.4666,0.4318,-0.0348,,,,0.3993,0.4635
semantic_trio,linear,train,roi_gt_1,f1,classification,0.8952,0.8962,0.0009,,,,0.8831,0.9103
semantic_trio,linear,oof,roi_gt_1,auc_roc,classification,0.5581,0.5578,-0.0003,0.02,0.035,False,0.5167,0.5983
semantic_trio,linear,oof,roi_gt_1,pr_auc,classification,0.8463,0.8404,-0.0059,,,,0.8132,0.8693
semantic_trio,linear,oof,roi_gt_1,log_loss,classification,0.4928,0.5582,0.0654,,,,0.4947,0.6289
semantic_trio,linear,oof,roi_gt_1,f1,classification,0.8934,0.8849,-0.0085,,,,0.8716,0.8995
semantic_trio,linear,train,roi_gt_2,auc_roc,classification,0.6401,0.7073,0.0672,0.0,0.02,,0.6774,0.7383
semantic_trio,linear,train,roi_gt_2,pr_auc,classification,0.7647,0.807,0.0422,,,,0.7782,0.8358
semantic_trio,linear,train,roi_gt_2,log_loss,classification,0.6205,0.586,-0.0346,,,,0.5653,0.6057
semantic_trio,linear,train,roi_gt_2,f1,classification,0.7756,0.7929,0.0173,,,,0.7727,0.8134
semantic_trio,linear,oof,roi_gt_2,auc_roc,classification,0.6017,0.5899,-0.0117,0.0,0.02,False,0.5547,0.6235
semantic_trio,linear,oof,roi_gt_2,pr_auc,classification,0.7386,0.7069,-0.0316,,,,0.6732,0.7452
semantic_trio,linear,oof,roi_gt_2,log_loss,classification,0.6352,0.6463,0.0111,,,,0.6266,0.6658
semantic_trio,linear,oof,roi_gt_2,f1,classification,0.7769,0.77,-0.0069,,,,0.75,0.7907
semantic_trio,histgb,train,log_roi,mse,regression,1.4509,1.2093,-0.2416,,,,1.0127,1.4434
semantic_trio,histgb,train,log_roi,rmse,regression,1.2045,1.0997,-0.1049,-0.015,0.0,,1.0063,1.2014
semantic_trio,histgb,train,log_roi,mae,regression,0.8576,0.7804,-0.0771,,,,0.7353,0.8243
semantic_trio,histgb,train,log_roi,cvrmse,regression,0.894,0.8161,-0.0778,,,,0.759,0.8769
semantic_trio,histgb,oof,log_roi,mse,regression,1.7606,1.7783,0.0177,,,,1.481,2.1454
semantic_trio,histgb,oof,log_roi,rmse,regression,1.3269,1.3335,0.0066,-0.015,0.0,,1.217,1.4647
semantic_trio,histgb,oof,log_roi,mae,regression,0.9432,0.9497,0.0066,,,,0.8965,1.0002
semantic_trio,histgb,oof,log_roi,cvrmse,regression,0.9847,0.9897,0.0049,,,,0.9162,1.0665
semantic_trio,histgb,train,roi_gt_1,auc_roc,classification,0.7754,0.807,0.0316,0.02,0.035,,0.7738,0.8388
semantic_trio,histgb,train,roi_gt_1,pr_auc,classification,0.9356,0.9391,0.0035,,,,0.9247,0.9526
semantic_trio,histgb,train,roi_gt_1,log_loss,classification,0.4521,0.4481,-0.004,,,,0.4172,0.4756
semantic_trio,histgb,train,roi_gt_1,f1,classification,0.8947,0.8944,-0.0003,,,,0.881,0.909
semantic_trio,histgb,oof,roi_gt_1,auc_roc,classification,0.5524,0.5462,-0.0062,0.02,0.035,,0.507,0.5875
semantic_trio,histgb,oof,roi_gt_1,pr_auc,classification,0.8427,0.8283,-0.0144,,,,0.8035,0.8586
semantic_trio,histgb,oof,roi_gt_1,log_loss,classification,0.4861,0.4886,0.0025,,,,0.4541,0.5174
semantic_trio,histgb,oof,roi_gt_1,f1,classification,0.8929,0.8938,0.0009,,,,0.8809,0.9084
semantic_trio,histgb,train,roi_gt_2,auc_roc,classification,0.8112,0.9461,0.1349,0.0,0.02,,0.9354,0.9575
semantic_trio,histgb,train,roi_gt_2,pr_auc,classification,0.892,0.9704,0.0784,,,,0.9629,0.9776
semantic_trio,histgb,train,roi_gt_2,log_loss,classification,0.5592,0.48,-0.0793,,,,0.4655,0.4931
semantic_trio,histgb,train,roi_gt_2,f1,classification,0.8091,0.8525,0.0434,,,,0.8361,0.8696
semantic_trio,histgb,oof,roi_gt_2,auc_roc,classification,0.6098,0.5705,-0.0393,0.0,0.02,,0.5372,0.6057
semantic_trio,histgb,oof,roi_gt_2,pr_auc,classification,0.731,0.7007,-0.0304,,,,0.6678,0.7407
semantic_trio,histgb,oof,roi_gt_2,log_loss,classification,0.6349,0.646,0.0111,,,,0.6256,0.6643
semantic_trio,histgb,oof,roi_gt_2,f1,classification,0.7767,0.7733,-0.0034,,,,0.7529,0.7941
semantic_trio,knn,train,log_roi,mse,regression,0.0,0.0,0.0,,,,0.0,0.0
semantic_trio,knn,train,log_roi,rmse,regression,0.0,0.0,0.0,-0.015,0.0,,0.0,0.0
semantic_trio,knn,train,log_roi,mae,regression,0.0,0.0,0.0,,,,0.0,0.0
semantic_trio,knn,train,log_roi,cvrmse,regression,0.0,0.0,0.0,,,,0.0,0.0
semantic_trio,knn,oof,log_roi,mse,regression,1.8602,1.8896,0.0294,,,,1.5837,2.291
semantic_trio,knn,oof,log_roi,rmse,regression,1.3639,1.3746,0.0107,-0.015,0.0,,1.2585,1.5136
semantic_trio,knn,oof,log_roi,mae,regression,0.9719,0.9825,0.0106,,,,0.9286,1.0365
semantic_trio,knn,oof,log_roi,cvrmse,regression,1.0122,1.0202,0.008,,,,0.9491,1.0993
semantic_trio,knn,train,roi_gt_1,auc_roc,classification,1.0,1.0,0.0,0.02,0.035,,1.0,1.0
semantic_trio,knn,train,roi_gt_1,pr_auc,classification,1.0,1.0,0.0,,,,1.0,1.0
semantic_trio,knn,train,roi_gt_1,log_loss,classification,0.0,0.0,0.0,,,,0.0,0.0
semantic_trio,knn,train,roi_gt_1,f1,classification,1.0,1.0,0.0,,,,1.0,1.0
semantic_trio,knn,oof,roi_gt_1,auc_roc,classification,0.5265,0.5383,0.0119,0.02,0.035,,0.4967,0.5788
semantic_trio,knn,oof,roi_gt_1,pr_auc,classification,0.8288,0.8267,-0.002,,,,0.8,0.8576
semantic_trio,knn,oof,roi_gt_1,log_loss,classification,0.5933,0.6166,0.0233,,,,0.5054,0.7461
semantic_trio,knn,oof,roi_gt_1,f1,classification,0.8939,0.8929,-0.001,,,,0.8794,0.9075
semantic_trio,knn,train,roi_gt_2,auc_roc,classification,1.0,1.0,0.0,0.0,0.02,,1.0,1.0
semantic_trio,knn,train,roi_gt_2,pr_auc,classification,1.0,1.0,0.0,,,,1.0,1.0
semantic_trio,knn,train,roi_gt_2,log_loss,classification,0.0,0.0,0.0,,,,0.0,0.0
semantic_trio,knn,train,roi_gt_2,f1,classification,1.0,1.0,0.0,,,,1.0,1.0
semantic_trio,knn,oof,roi_gt_2,auc_roc,classification,0.5782,0.5576,-0.0206,0.0,0.02,,0.5248,0.5898
semantic_trio,knn,oof,roi_gt_2,pr_auc,classification,0.7252,0.6915,-0.0337,,,,0.6558,0.7325
semantic_trio,knn,oof,roi_gt_2,log_loss,classification,0.6478,0.6603,0.0124,,,,0.6395,0.6802
semantic_trio,knn,oof,roi_gt_2,f1,classification,0.7407,0.7486,0.0079,,,,0.7272,0.771
semantic_trio,svm,train,log_roi,mse,regression,1.5507,1.1615,-0.3892,,,,0.8913,1.5211
semantic_trio,svm,train,log_roi,rmse,regression,1.2453,1.0777,-0.1675,-0.015,0.0,,0.9441,1.2333
semantic_trio,svm,train,log_roi,mae,regression,0.8157,0.6275,-0.1882,,,,0.5806,0.6768
semantic_trio,svm,train,log_roi,cvrmse,regression,0.9242,0.7998,-0.1243,,,,0.7139,0.8967
semantic_trio,svm,oof,log_roi,mse,regression,1.8424,1.8233,-0.0191,,,,1.5144,2.2127
semantic_trio,svm,oof,log_roi,rmse,regression,1.3573,1.3503,-0.0071,-0.015,0.0,,1.2306,1.4875
semantic_trio,svm,oof,log_roi,mae,regression,0.9536,0.9572,0.0036,,,,0.9065,1.0097
semantic_trio,svm,oof,log_roi,cvrmse,regression,1.0074,1.0021,-0.0052,,,,0.9266,1.0834
semantic_trio,svm,train,roi_gt_1,auc_roc,classification,0.888,0.9948,0.1067,0.02,0.035,,0.9871,0.9997
semantic_trio,svm,train,roi_gt_1,pr_auc,classification,0.965,0.998,0.033,,,,0.9946,0.9999
semantic_trio,svm,train,roi_gt_1,log_loss,classification,,,,,,,,
semantic_trio,svm,train,roi_gt_1,f1,classification,0.8952,0.8986,0.0033,,,,0.8858,0.9127
semantic_trio,svm,oof,roi_gt_1,auc_roc,classification,0.5043,0.5506,0.0463,0.02,0.035,,0.5068,0.5916
semantic_trio,svm,oof,roi_gt_1,pr_auc,classification,0.8314,0.8336,0.0022,,,,0.8059,0.862
semantic_trio,svm,oof,roi_gt_1,log_loss,classification,,,,,,,,
semantic_trio,svm,oof,roi_gt_1,f1,classification,0.8939,0.8934,-0.0005,,,,0.88,0.908
semantic_trio,svm,train,roi_gt_2,auc_roc,classification,0.8072,0.9527,0.1455,0.0,0.02,,0.9395,0.9646
semantic_trio,svm,train,roi_gt_2,pr_auc,classification,0.8617,0.967,0.1053,,,,0.9531,0.9795
semantic_trio,svm,train,roi_gt_2,log_loss,classification,,,,,,,,
semantic_trio,svm,train,roi_gt_2,f1,classification,0.7898,0.843,0.0532,,,,0.8248,0.861
semantic_trio,svm,oof,roi_gt_2,auc_roc,classification,0.5337,0.591,0.0572,0.0,0.02,,0.5581,0.6233
semantic_trio,svm,oof,roi_gt_2,pr_auc,classification,0.6763,0.7053,0.0291,,,,0.671,0.7446
semantic_trio,svm,oof,roi_gt_2,log_loss,classification,,,,,,,,
semantic_trio,svm,oof,roi_gt_2,f1,classification,0.7839,0.7752,-0.0088,,,,0.7548,0.7957
