slice,n,n_pos,linear,histgb,random_forest,svm_rbf,lightgbm,xgboost
pre_1980s,76,68,0.2886029411764706,0.36397058823529416,0.3805147058823529,0.2904411764705882,0.34558823529411764,0.37316176470588236
1980s,120,93,0.5655117483074473,0.5225009956192752,0.6240541616885703,0.5591397849462365,0.6491437674233373,0.5917960971724413
1990s,251,147,0.6424646781789639,0.6230376766091051,0.6187205651491365,0.6541077969649398,0.6327184720041863,0.6402407116692832
2000s,293,169,0.5891391486924986,0.5792135903798434,0.6106604313800343,0.6254056117579689,0.6014983775529681,0.6149551441114716
2010s_2020s,459,297,0.6292555181444071,0.6041484806916906,0.6179074697593216,0.6505175208878913,0.618510204929958,0.6297959014008396
