imdb_id,shap_sum,base_value,top_pos_features,top_neg_features,rationale_features,calibrated_probability,recommended_action,phase6_rationale,true_label,genre
tt2170439,0.17788410186767578,0.0,Embedding PC 12=+0.175; Network: top1_dialogue_share=+0.164; Topic 01 proportion=+0.079; topic_dominant_id=+0.076; Network: lead_role_count=+0.070,Genre=Action=-0.112; Genre=Horror=-0.110; Topic 18 proportion=-0.080; Network: modularity=-0.080; Embedding PC 13=-0.076,"Top features pushing probability up: Embedding PC 12 (+0.175 log-odds), Network: top1_dialogue_share (+0.164 log-odds), Topic 01 proportion (+0.079 log-odds). Top features pulling probability down: Genre=Action (-0.112 log-odds), Genre=Horror (-0.110 log-odds), Topic 18 proportion (-0.080 log-odds).",0.5600000023841858,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Comedy
tt0455944,-0.4050143361091614,0.0,Genre=Action=+0.111; Topic 01 proportion=+0.086; log(runtime)=+0.044; Genre=Horror=+0.039; Network: max_betweenness_centrality=+0.039,Network: lead_role_count=-0.132; Genre=Romance=-0.082; Topic 10 proportion=-0.078; Embedding PC 05=-0.070; release_year_parsed=-0.063,"Top features pushing probability up: Genre=Action (+0.111 log-odds), Topic 01 proportion (+0.086 log-odds), log(runtime) (+0.044 log-odds). Top features pulling probability down: Network: lead_role_count (-0.132 log-odds), Genre=Romance (-0.082 log-odds), Topic 10 proportion (-0.078 log-odds).",0.5600000023841858,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Thriller
tt0151738,0.111294224858284,0.0,Genre=Science Fiction=+0.116; Embedding PC 04=+0.105; Network: top1_dialogue_share=+0.100; Topic 10 proportion=+0.075; Network: n_significant_characters=+0.074,release_year_parsed=-0.133; Genre=Action=-0.086; Network: lead_role_count=-0.075; Genre=Romance=-0.066; Topic 06 proportion=-0.053,"Top features pushing probability up: Genre=Science Fiction (+0.116 log-odds), Embedding PC 04 (+0.105 log-odds), Network: top1_dialogue_share (+0.100 log-odds). Top features pulling probability down: release_year_parsed (-0.133 log-odds), Genre=Action (-0.086 log-odds), Network: lead_role_count (-0.075 log-odds).",0.5600000023841858,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Romance
tt0181865,-0.6838569045066833,0.0,Genre=Action=+0.209; Network: modularity=+0.099; log(n_scenes)=+0.084; Topic 08 proportion=+0.076; Topic 11 proportion=+0.067,Embedding PC 11=-0.156; Network: lead_role_count=-0.130; release_year_parsed=-0.122; Genre=Romance=-0.091; Genre=Horror=-0.086,"Top features pushing probability up: Genre=Action (+0.209 log-odds), Network: modularity (+0.099 log-odds), log(n_scenes) (+0.084 log-odds). Top features pulling probability down: Embedding PC 11 (-0.156 log-odds), Network: lead_role_count (-0.130 log-odds), release_year_parsed (-0.122 log-odds).",0.5600000023841858,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Thriller
tt0120647,0.6330217123031616,0.0,Genre=Horror=+0.338; Network: lead_role_count=+0.162; log(n_unique_characters)=+0.118; Network: n_significant_characters=+0.084; Topic 01 proportion=+0.074,release_year_parsed=-0.112; Genre=Action=-0.060; Embedding PC 05=-0.052; Network: top1_eigenvector_centrality=-0.045; log(total_dialogue_chars)=-0.044,"Top features pushing probability up: Genre=Horror (+0.338 log-odds), Network: lead_role_count (+0.162 log-odds), log(n_unique_characters) (+0.118 log-odds). Top features pulling probability down: release_year_parsed (-0.112 log-odds), Genre=Action (-0.060 log-odds), Embedding PC 05 (-0.052 log-odds).",0.7124999761581421,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Action
tt3659388,0.5925107002258301,0.0,Genre=Action=+0.268; log(n_scenes)=+0.159; Embedding PC 05=+0.129; Network: dialogue_gini=+0.098; Network: top1_dialogue_share=+0.085,Embedding PC 03=-0.125; Genre=Horror=-0.081; Topic 10 proportion=-0.069; Topic 08 proportion=-0.067; release_year_parsed=-0.059,"Top features pushing probability up: Genre=Action (+0.268 log-odds), log(n_scenes) (+0.159 log-odds), Embedding PC 05 (+0.129 log-odds). Top features pulling probability down: Embedding PC 03 (-0.125 log-odds), Genre=Horror (-0.081 log-odds), Topic 10 proportion (-0.069 log-odds).",0.7124999761581421,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt0117918,0.6635655164718628,0.0,Network: top1_dialogue_share=+0.256; Embedding PC 12=+0.213; Genre=Action=+0.180; topic_dominant_id=+0.102; Embedding PC 10=+0.091,Genre=Romance=-0.134; Network: lead_role_count=-0.124; release_year_parsed=-0.098; Embedding PC 05=-0.054; log(parse_warning_count)=-0.043,"Top features pushing probability up: Network: top1_dialogue_share (+0.256 log-odds), Embedding PC 12 (+0.213 log-odds), Genre=Action (+0.180 log-odds). Top features pulling probability down: Genre=Romance (-0.134 log-odds), Network: lead_role_count (-0.124 log-odds), release_year_parsed (-0.098 log-odds).",0.7124999761581421,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Comedy
tt0103772,-0.06647202372550964,0.0,Genre=Action=+0.279; Genre=Horror=+0.108; Topic 10 proportion=+0.080; Embedding PC 04=+0.078; Topic 08 proportion=+0.078,Genre=Romance=-0.267; Network: top1_dialogue_share=-0.125; Embedding PC 00=-0.122; release_year_parsed=-0.074; Network: n_significant_characters=-0.055,"Top features pushing probability up: Genre=Action (+0.279 log-odds), Genre=Horror (+0.108 log-odds), Topic 10 proportion (+0.080 log-odds). Top features pulling probability down: Genre=Romance (-0.267 log-odds), Network: top1_dialogue_share (-0.125 log-odds), Embedding PC 00 (-0.122 log-odds).",0.5600000023841858,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Thriller
tt0258000,0.5270015001296997,0.0,Genre=Horror=+0.182; Network: lead_role_count=+0.176; Topic 01 proportion=+0.171; Genre=Science Fiction=+0.112; Embedding PC 06=+0.085,release_year_parsed=-0.154; Network: n_significant_characters=-0.124; Embedding PC 14=-0.102; Embedding PC 05=-0.072; Network: max_betweenness_centrality=-0.067,"Top features pushing probability up: Genre=Horror (+0.182 log-odds), Network: lead_role_count (+0.176 log-odds), Topic 01 proportion (+0.171 log-odds). Top features pulling probability down: release_year_parsed (-0.154 log-odds), Network: n_significant_characters (-0.124 log-odds), Embedding PC 14 (-0.102 log-odds).",0.6666666865348816,Refer,"Recommended Refer to human reader: at probability 0.667, expected losses from Greenlight ($16.7M) and Pass ($66.7M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Crime
tt1038686,0.9615501165390015,0.0,Genre=Horror=+0.307; Embedding PC 12=+0.141; Genre=Science Fiction=+0.133; Topic 15 proportion=+0.110; Network: n_significant_characters=+0.089,release_year_parsed=-0.129; Embedding PC 05=-0.086; Genre=Action=-0.084; Network: max_betweenness_centrality=-0.076; Network: top1_eigenvector_centrality=-0.072,"Top features pushing probability up: Genre=Horror (+0.307 log-odds), Embedding PC 12 (+0.141 log-odds), Genre=Science Fiction (+0.133 log-odds). Top features pulling probability down: release_year_parsed (-0.129 log-odds), Embedding PC 05 (-0.086 log-odds), Genre=Action (-0.084 log-odds).",0.7124999761581421,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Horror
tt1282140,-0.3655696213245392,0.0,Genre=Horror=+0.248; Embedding PC 04=+0.075; Genre=Science Fiction=+0.071; topic_dominant_id=+0.068; Network: top1_eigenvector_centrality=+0.064,Genre=Romance=-0.134; release_year_parsed=-0.119; Topic 15 proportion=-0.104; Topic 10 proportion=-0.096; Network: lead_role_count=-0.092,"Top features pushing probability up: Genre=Horror (+0.248 log-odds), Embedding PC 04 (+0.075 log-odds), Genre=Science Fiction (+0.071 log-odds). Top features pulling probability down: Genre=Romance (-0.134 log-odds), release_year_parsed (-0.119 log-odds), Topic 15 proportion (-0.104 log-odds).",0.5600000023841858,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Comedy
tt0842926,0.1974983960390091,0.0,Embedding PC 05=+0.163; Topic 15 proportion=+0.098; Network: top1_dialogue_share=+0.084; topic_dominant_id=+0.083; Embedding PC 00=+0.075,Genre=Action=-0.117; Network: max_betweenness_centrality=-0.102; release_year_parsed=-0.086; Topic 07 proportion=-0.067; Embedding PC 06=-0.065,"Top features pushing probability up: Embedding PC 05 (+0.163 log-odds), Topic 15 proportion (+0.098 log-odds), Network: top1_dialogue_share (+0.084 log-odds). Top features pulling probability down: Genre=Action (-0.117 log-odds), Network: max_betweenness_centrality (-0.102 log-odds), release_year_parsed (-0.086 log-odds).",0.5600000023841858,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Comedy
tt0229260,-0.45257794857025146,0.0,Embedding PC 12=+0.120; Network: lead_role_count=+0.117; Network: top1_eigenvector_centrality=+0.065; Embedding PC 11=+0.057; Topic 18 proportion=+0.055,Genre=Romance=-0.158; Network: top1_dialogue_share=-0.112; release_year_parsed=-0.112; Network: n_significant_characters=-0.105; Genre=Action=-0.085,"Top features pushing probability up: Embedding PC 12 (+0.120 log-odds), Network: lead_role_count (+0.117 log-odds), Network: top1_eigenvector_centrality (+0.065 log-odds). Top features pulling probability down: Genre=Romance (-0.158 log-odds), Network: top1_dialogue_share (-0.112 log-odds), release_year_parsed (-0.112 log-odds).",0.5600000023841858,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Mystery
tt2562232,-0.013607069849967957,0.0,Embedding PC 12=+0.227; Genre=Horror=+0.202; topic_dominant_id=+0.108; Topic 11 proportion=+0.083; Network: lead_role_count=+0.082,Genre=Romance=-0.119; Topic 01 proportion=-0.101; Embedding PC 14=-0.094; Embedding PC 05=-0.084; Embedding PC 00=-0.079,"Top features pushing probability up: Embedding PC 12 (+0.227 log-odds), Genre=Horror (+0.202 log-odds), topic_dominant_id (+0.108 log-odds). Top features pulling probability down: Genre=Romance (-0.119 log-odds), Topic 01 proportion (-0.101 log-odds), Embedding PC 14 (-0.094 log-odds).",0.5600000023841858,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt1454468,0.6673389077186584,0.0,Embedding PC 12=+0.168; Network: n_significant_characters=+0.156; log(total_action_chars)=+0.107; Topic 11 proportion=+0.102; Topic 12 proportion=+0.101,Topic 18 proportion=-0.106; Embedding PC 11=-0.093; release_year_parsed=-0.079; Genre=Action=-0.071; Embedding PC 13=-0.059,"Top features pushing probability up: Embedding PC 12 (+0.168 log-odds), Network: n_significant_characters (+0.156 log-odds), log(total_action_chars) (+0.107 log-odds). Top features pulling probability down: Topic 18 proportion (-0.106 log-odds), Embedding PC 11 (-0.093 log-odds), release_year_parsed (-0.079 log-odds).",0.7124999761581421,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Science Fiction
tt0074285,0.818230926990509,0.0,release_year_parsed=+0.672; Genre=Horror=+0.122; Genre=Science Fiction=+0.122; Network: max_betweenness_centrality=+0.106; Network: lead_role_count=+0.076,Embedding PC 12=-0.225; Topic 19 proportion=-0.152; Embedding PC 05=-0.054; Topic 13 proportion=-0.049; Topic 15 proportion=-0.037,"Top features pushing probability up: release_year_parsed (+0.672 log-odds), Genre=Horror (+0.122 log-odds), Genre=Science Fiction (+0.122 log-odds). Top features pulling probability down: Embedding PC 12 (-0.225 log-odds), Topic 19 proportion (-0.152 log-odds), Embedding PC 05 (-0.054 log-odds).",0.7124999761581421,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Horror
tt0094631,0.6119821071624756,0.0,release_year_parsed=+0.246; Genre=Science Fiction=+0.212; Network: top1_dialogue_share=+0.072; Topic 01 proportion=+0.067; Topic 12 proportion=+0.065,Topic 18 proportion=-0.082; Genre=Romance=-0.078; Genre=Action=-0.071; topic_dominant_id=-0.043; Topic 15 proportion=-0.041,"Top features pushing probability up: release_year_parsed (+0.246 log-odds), Genre=Science Fiction (+0.212 log-odds), Network: top1_dialogue_share (+0.072 log-odds). Top features pulling probability down: Topic 18 proportion (-0.082 log-odds), Genre=Romance (-0.078 log-odds), Genre=Action (-0.071 log-odds).",0.7124999761581421,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Science Fiction
tt1457767,-0.24558892846107483,0.0,Genre=Horror=+0.252; Embedding PC 00=+0.081; Network: lead_role_count=+0.078; Genre=Thriller=+0.077; log(total_dialogue_chars)=+0.051,Network: max_betweenness_centrality=-0.110; Topic 15 proportion=-0.104; Genre=Action=-0.096; release_year_parsed=-0.082; Topic 12 proportion=-0.081,"Top features pushing probability up: Genre=Horror (+0.252 log-odds), Embedding PC 00 (+0.081 log-odds), Network: lead_role_count (+0.078 log-odds). Top features pulling probability down: Network: max_betweenness_centrality (-0.110 log-odds), Topic 15 proportion (-0.104 log-odds), Genre=Action (-0.096 log-odds).",0.5600000023841858,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Horror
tt1201167,0.14027190208435059,0.0,Genre=Action=+0.218; Network: max_betweenness_centrality=+0.126; Network: n_significant_characters=+0.106; Genre=Romance=+0.101; Network: dialogue_gini=+0.100,Topic 10 proportion=-0.167; Embedding PC 03=-0.165; Network: modularity=-0.095; Network: top1_eigenvector_centrality=-0.085; Topic 15 proportion=-0.081,"Top features pushing probability up: Genre=Action (+0.218 log-odds), Network: max_betweenness_centrality (+0.126 log-odds), Network: n_significant_characters (+0.106 log-odds). Top features pulling probability down: Topic 10 proportion (-0.167 log-odds), Embedding PC 03 (-0.165 log-odds), Network: modularity (-0.095 log-odds).",0.5600000023841858,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Comedy
