cut_column,cut_value,n,n_pos,n_neg,auc,f1_at_0.5,log_loss,p_greenlight,p_pass,p_refer,total_cost,cost_per_film_M
length_tier,131_200,91,46,45,0.46135265700483086,0.65625,0.903703303031984,0.01098901098901099,0.0,0.989010989010989,50450000.0,0.5543956043956043
length_tier,60_130,105,74,31,0.4531386224934612,0.8228571428571428,0.6480115504413064,0.009523809523809525,0.0,0.9904761904761905,520000.0,0.004952380952380952
length_tier,over_200,34,21,13,0.7087912087912087,0.7636363636363637,0.6120565301936504,0.0,0.0,1.0,170000.0,0.005
length_tier,under_60,27,17,10,0.5441176470588236,0.7727272727272727,0.6643024183764416,0.0,0.0,1.0,135000.0,0.005
