primary_genre_bucketed,n,n_pos,mean_abs_error,accuracy
Drama,299,169,0.4666333897921819,0.6287625418060201
Comedy,219,141,0.4582689089680734,0.6073059360730594
Action,168,103,0.4585344081537591,0.6130952380952381
Horror,103,82,0.3952301032720646,0.7766990291262136
Adventure,86,63,0.4187454083400179,0.6976744186046512
Crime,73,45,0.4472592000139359,0.6712328767123288
Thriller,59,37,0.45703841695341013,0.576271186440678
Science Fiction,45,25,0.4516861493940707,0.7111111111111111
Animation,32,27,0.3738156609858076,0.8125
Fantasy,32,24,0.4533482842768232,0.65625
Romance,27,19,0.47206060459584365,0.6666666666666666
Mystery,19,12,0.4569500297830816,0.5263157894736842
Family,12,8,0.43019994265503353,0.6666666666666666
Music,8,6,0.4259398964544137,0.75
History,6,4,0.5778727796342638,0.16666666666666666
War,6,5,0.4246990730365117,0.6666666666666666
Other,5,4,0.611516390244166,0.0
