matrix,family,tier,target,task,eval_set,metric,value,ci_lo,ci_hi,n_folds,best_params
all_five,linear_unweighted,primary,roi_gt_2,classification,train,auc_roc,0.6983827329381365,,,0,{'C': 0.0031622776601683794}
all_five,linear_unweighted,primary,roi_gt_2,classification,train,pr_auc,0.8027357624458993,,,0,{'C': 0.0031622776601683794}
all_five,linear_unweighted,primary,roi_gt_2,classification,train,log_loss,0.6036619708998479,,,0,{'C': 0.0031622776601683794}
all_five,linear_unweighted,primary,roi_gt_2,classification,train,f1,0.7916010498687664,,,0,{'C': 0.0031622776601683794}
all_five,linear_unweighted,primary,roi_gt_2,classification,oof_global,auc_roc,0.6145189238486092,0.5814866150021945,0.6454045175926413,15,{'C': 0.0031622776601683794}
all_five,linear_unweighted,primary,roi_gt_2,classification,oof_global,pr_auc,0.7381152209088414,0.7055365165461865,0.7722203101876056,15,{'C': 0.0031622776601683794}
all_five,linear_unweighted,primary,roi_gt_2,classification,oof_global,log_loss,0.6326018079251213,0.6145057693611935,0.6493386872170059,15,{'C': 0.0031622776601683794}
all_five,linear_unweighted,primary,roi_gt_2,classification,oof_global,f1,0.7814776274713839,0.7616525423728814,0.8014482849790711,15,{'C': 0.0031622776601683794}
all_five,linear_unweighted,primary,roi_gt_2,classification,oof_perfold_mean,auc_roc,0.6114554490417868,0.575675680028289,0.6472352180552847,15,{'C': 0.0031622776601683794}
all_five,linear_unweighted,primary,roi_gt_2,classification,oof_perfold_mean,pr_auc,0.7393926241287782,0.714235088566407,0.7645501596911493,15,{'C': 0.0031622776601683794}
all_five,linear_unweighted,primary,roi_gt_2,classification,oof_perfold_mean,log_loss,0.6334599537765361,0.6218988689993921,0.6450210385536801,15,{'C': 0.0031622776601683794}
all_five,linear_unweighted,primary,roi_gt_2,classification,oof_perfold_mean,f1,0.781571837113308,0.7721093561581907,0.7910343180684254,15,{'C': 0.0031622776601683794}
all_five,histgb_unweighted,primary,roi_gt_2,classification,train,auc_roc,0.9233044535643717,,,0,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 40}"
all_five,histgb_unweighted,primary,roi_gt_2,classification,train,pr_auc,0.956055909016624,,,0,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 40}"
all_five,histgb_unweighted,primary,roi_gt_2,classification,train,log_loss,0.5049056662430839,,,0,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 40}"
