target,method,fold,ece,mce,brier,log_loss,n_eval
roi_gt_1,uncalibrated,0,0.32131177127308735,0.49221418683239904,0.2263417377965766,0.6500694916516345,52
roi_gt_1,uncalibrated,1,0.19441813264922386,0.653371720626766,0.1958644764028133,0.5731346053096056,52
roi_gt_1,uncalibrated,2,0.24762542552137343,0.6553216283743692,0.20693579331050904,0.6009456150506138,51
roi_gt_1,uncalibrated,3,0.20759353230023977,0.4527962846829214,0.18996155132374232,0.5685448405850598,51
roi_gt_1,uncalibrated,4,0.24570073259863487,0.43289760503198826,0.20014336867977586,0.5861173289457424,51
roi_gt_1,sigmoid,0,0.19948551996795427,0.44139717578123194,0.1705980063023165,0.5419759351328576,52
roi_gt_1,sigmoid,1,0.16572793396220942,0.3387734741164582,0.1605608146111959,0.4913750417005287,52
roi_gt_1,sigmoid,2,0.15509271144464093,0.33764594780178925,0.15467192908255456,0.482798986221393,51
roi_gt_1,sigmoid,3,0.11600898081224172,0.3165044973803369,0.14893091835039493,0.4696483301612316,51
roi_gt_1,sigmoid,4,0.14868402664974162,0.4101976600150312,0.1649238449994704,0.5070588236022069,51
roi_gt_1,isotonic,0,0.1652209883282472,0.26078431372549016,0.18777170446931263,0.6141045322236247,52
roi_gt_1,isotonic,1,0.11234117103574746,0.58252686450625,0.16377208458063228,0.4943451053326138,52
roi_gt_1,isotonic,2,0.042447082000304996,0.8006035413202196,0.1501653993042527,0.4691286605536874,51
roi_gt_1,isotonic,3,0.06921869554025276,0.1923076923076923,0.1405329361622763,0.4447911001438298,51
roi_gt_1,isotonic,4,0.08388371600068492,0.25,0.16897464781255167,0.5168211662302512,51
roi_gt_2,uncalibrated,0,0.12856484261842877,0.22906481027603154,0.2086686801445276,0.6011807299806521,52
roi_gt_2,uncalibrated,1,0.23708776269967743,0.4139322102069855,0.27057717563358685,0.7451265632876396,52
roi_gt_2,uncalibrated,2,0.15444950087397707,0.46992551088333134,0.24011046396417673,0.6715059271263979,51
roi_gt_2,uncalibrated,3,0.21035863020840814,0.4353403647740682,0.26267985980167813,0.7232703215127724,51
roi_gt_2,uncalibrated,4,0.20196918120571214,0.3978418231010437,0.26626782928032905,0.731387495363925,51
roi_gt_2,sigmoid,0,0.1932851618848316,0.3879155949776054,0.23627479892184983,0.6654133764985242,52
roi_gt_2,sigmoid,1,0.18105501597233487,0.4096561106409648,0.24234108002645277,0.6782339141255408,52
roi_gt_2,sigmoid,2,0.16634564201516763,0.35304712363568325,0.23589719838554346,0.6643845539932816,51
roi_gt_2,sigmoid,3,0.1726621955517259,0.35703009681703834,0.24225568318523052,0.6782331459631298,51
roi_gt_2,sigmoid,4,0.13390705579071055,0.42547628656760744,0.24210534177379336,0.6774365519743074,51
roi_gt_2,isotonic,0,0.1074501109810976,0.4285714328289032,0.21634613500344826,0.620157055136331,52
roi_gt_2,isotonic,1,0.11823459743307188,0.39999999701976774,0.2715097702024256,1.0235789392458885,52
roi_gt_2,isotonic,2,0.08113532732514775,0.16170548399289442,0.2305354154024909,0.6531998254213435,51
roi_gt_2,isotonic,3,0.15322579706416406,0.4064516186714172,0.2589450142877787,0.723142886836795,51
roi_gt_2,isotonic,4,0.07877373227886125,0.3214285572369894,0.24536908188615572,0.6847269706502078,51
