,budget,revenue,revenue_to_budget_ratio
count,3229.0,3229.0,3229.0
mean,40654444.774233505,121242957.26138124,2954.8224078980347
std,44396741.802660175,186302864.01426592,150610.0990964865
min,1.0,5.0,5.217391304347826e-07
25%,10500000.0,17000000.0,1.0224632833333334
50%,25000000.0,55184721.0,2.300366285714286
75%,55000000.0,146292009.0,4.420821557142857
max,380000000.0,2787965087.0,8500000.0
