,budget,revenue,revenue_to_budget_ratio
count,13759.0,13759.0,13759.0
mean,18107182.048332002,52138214.011556074,294936.0392408964
std,37284718.51248112,149257679.7655169,13312441.878275136
min,1.0,1.0,4.444444444444444e-09
25%,10000.0,15000.0,0.6812032640834111
50%,3900000.0,3970078.0,1.5461902235294118
75%,20000000.0,35490055.5,3.6980213650349647
max,900000000.0,3000000000.0,1000000000.0
