matrix,target,task,metric,stack_value,best_base_value,n_train,meta_coefs,meta_intercept
all_five,log_roi,regression,mse,1.737703762609468,1.730259214437755,1199,"{'linear': -0.15442936190253273, 'histgb': 0.14768567288895457, 'random_forest': 0.5784449432510592, 'svm_rbf': 1.567118577984667, 'lightgbm': 0.1496809273251846, 'xgboost': 0.11814212215475094}",-0.9970751123329851
all_five,log_roi,regression,rmse,1.318219921943781,1.3153931786495456,1199,"{'linear': -0.15442936190253273, 'histgb': 0.14768567288895457, 'random_forest': 0.5784449432510592, 'svm_rbf': 1.567118577984667, 'lightgbm': 0.1496809273251846, 'xgboost': 0.11814212215475094}",-0.9970751123329851
all_five,log_roi,regression,mae,0.932422622290875,0.9334584601908452,1199,"{'linear': -0.15442936190253273, 'histgb': 0.14768567288895457, 'random_forest': 0.5784449432510592, 'svm_rbf': 1.567118577984667, 'lightgbm': 0.1496809273251846, 'xgboost': 0.11814212215475094}",-0.9970751123329851
all_five,log_roi,regression,cvrmse,0.9783276740027351,0.976229783395852,1199,"{'linear': -0.15442936190253273, 'histgb': 0.14768567288895457, 'random_forest': 0.5784449432510592, 'svm_rbf': 1.567118577984667, 'lightgbm': 0.1496809273251846, 'xgboost': 0.11814212215475094}",-0.9970751123329851
all_five,roi_gt_1,classification,auc_roc,0.5733939584927745,0.5865574213298519,1199,"{'linear': 0.27171497494274643, 'histgb': 1.343417203995192, 'random_forest': 0.06913576691396847, 'svm_rbf': 0.7520491135401325, 'lightgbm': 1.1476911124715128, 'xgboost': -0.2988128592380435}",-0.4826349415795072
all_five,roi_gt_1,classification,pr_auc,0.8440370772997976,0.8542280104799564,1199,"{'linear': 0.27171497494274643, 'histgb': 1.343417203995192, 'random_forest': 0.06913576691396847, 'svm_rbf': 0.7520491135401325, 'lightgbm': 1.1476911124715128, 'xgboost': -0.2988128592380435}",-0.4826349415795072
all_five,roi_gt_1,classification,f1,0.8939114391143912,0.8937153419593346,1199,"{'linear': 0.27171497494274643, 'histgb': 1.343417203995192, 'random_forest': 0.06913576691396847, 'svm_rbf': 0.7520491135401325, 'lightgbm': 1.1476911124715128, 'xgboost': -0.2988128592380435}",-0.4826349415795072
all_five,roi_gt_1,classification,log_loss,0.4837345005234613,0.5046245138660438,1199,"{'linear': 0.27171497494274643, 'histgb': 1.343417203995192, 'random_forest': 0.06913576691396847, 'svm_rbf': 0.7520491135401325, 'lightgbm': 1.1476911124715128, 'xgboost': -0.2988128592380435}",-0.4826349415795072
all_five,roi_gt_2,classification,auc_roc,0.6164553883568933,0.6200243198054416,1199,"{'linear': 1.0948815861338268, 'histgb': -0.040118201520099206, 'random_forest': 0.7713671516751701, 'svm_rbf': 1.3806747950242753, 'lightgbm': 1.638427292699089, 'xgboost': -0.49892619170683117}",-1.668292490186642
all_five,roi_gt_2,classification,pr_auc,0.7262880946145174,0.7379891908286834,1199,"{'linear': 1.0948815861338268, 'histgb': -0.040118201520099206, 'random_forest': 0.7713671516751701, 'svm_rbf': 1.3806747950242753, 'lightgbm': 1.638427292699089, 'xgboost': -0.49892619170683117}",-1.668292490186642
all_five,roi_gt_2,classification,f1,0.772192513368984,0.7710843373493976,1199,"{'linear': 1.0948815861338268, 'histgb': -0.040118201520099206, 'random_forest': 0.7713671516751701, 'svm_rbf': 1.3806747950242753, 'lightgbm': 1.638427292699089, 'xgboost': -0.49892619170683117}",-1.668292490186642
all_five,roi_gt_2,classification,log_loss,0.6338058075976671,0.6398960719416021,1199,"{'linear': 1.0948815861338268, 'histgb': -0.040118201520099206, 'random_forest': 0.7713671516751701, 'svm_rbf': 1.3806747950242753, 'lightgbm': 1.638427292699089, 'xgboost': -0.49892619170683117}",-1.668292490186642
standalone_positive_union,log_roi,regression,mse,1.7206798998527222,1.7328434930935877,1199,"{'linear': -0.17872462592978247, 'histgb': 0.7726840696832034, 'random_forest': 0.3219454869771579, 'svm_rbf': 2.0894466364999, 'lightgbm': -0.6397284232700664, 'xgboost': 0.5948584362126275}",-1.4131090387490484
standalone_positive_union,log_roi,regression,rmse,1.311746888638476,1.3163751338784806,1199,"{'linear': -0.17872462592978247, 'histgb': 0.7726840696832034, 'random_forest': 0.3219454869771579, 'svm_rbf': 2.0894466364999, 'lightgbm': -0.6397284232700664, 'xgboost': 0.5948584362126275}",-1.4131090387490484
standalone_positive_union,log_roi,regression,mae,0.9285700260473763,0.9330680289999168,1199,"{'linear': -0.17872462592978247, 'histgb': 0.7726840696832034, 'random_forest': 0.3219454869771579, 'svm_rbf': 2.0894466364999, 'lightgbm': -0.6397284232700664, 'xgboost': 0.5948584362126275}",-1.4131090387490484
standalone_positive_union,log_roi,regression,cvrmse,0.9735236595041655,0.9769585494834424,1199,"{'linear': -0.17872462592978247, 'histgb': 0.7726840696832034, 'random_forest': 0.3219454869771579, 'svm_rbf': 2.0894466364999, 'lightgbm': -0.6397284232700664, 'xgboost': 0.5948584362126275}",-1.4131090387490484
