strategy,cost_matrix,total_cost,p_greenlight,p_pass,p_refer,cost_per_film_M
always_greenlight,default,5000000000.0,1.0,0.0,0.0,19.455252918287936
always_pass,default,15700000000.0,0.0,1.0,0.0,61.08949416342413
read_everything,default,1285000.0,0.0,0.0,1.0,0.005
random,default,6850440000.0,0.3035019455252918,0.3540856031128405,0.3424124513618677,26.655408560311283
genre_prior,default,5000000000.0,1.0,0.0,0.0,19.455252918287936
system,default,1270000.0,0.011673151750972763,0.0,0.9883268482490273,0.004941634241245136
