2026-05-04 14:53:29 | INFO    | src.experiments.save_run | Run started: phase=phase_4_v2 name=standalone_positive_union_mpnet_linear dir=runs/phase_4_v2/20260504_1453_standalone_positive_union_mpnet_linear
2026-05-04 14:53:29 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=linear target=log_roi task=regression
2026-05-04 14:53:29 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=regression X.shape=(1460, 92)
2026-05-04 14:53:29 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=regression score=-1.3510 params={'model__alpha': np.float64(1000.0)}
2026-05-04 14:53:29 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=regression
2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, regression): mse=2.0244, rmse=1.4228, mae=1.0109, cvrmse=1.0614
2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, regression): mse=1.7819, rmse=1.3349, mae=0.9877, cvrmse=1.0194
2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, regression): mse=1.6738, rmse=1.2938, mae=0.9695, cvrmse=0.9448
2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, regression): mse=1.6600, rmse=1.2884, mae=0.9537, cvrmse=0.9863
2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, regression): mse=2.0031, rmse=1.4153, mae=1.0280, cvrmse=1.0421
2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, regression): mse=1.8657, rmse=1.3659, mae=0.9851, cvrmse=0.9943
2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, regression): mse=1.5724, rmse=1.2540, mae=0.9219, cvrmse=1.0051
2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, regression): mse=2.1225, rmse=1.4569, mae=1.0381, cvrmse=1.0946
2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, regression): mse=1.6299, rmse=1.2767, mae=0.9538, cvrmse=0.9543
2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, regression): mse=1.9167, rmse=1.3845, mae=1.0366, cvrmse=0.9934
2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, regression): mse=1.5751, rmse=1.2550, mae=0.9287, cvrmse=0.9353
2026-05-04 14:53:29 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, regression): mse=1.9933, rmse=1.4118, mae=1.0108, cvrmse=1.0247
