2026-05-04 02:26:56 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (lightgbm, classification): auc_roc=0.5502, pr_auc=0.8430, log_loss=0.5804, f1=0.8714
2026-05-04 02:26:56 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (lightgbm, classification): auc_roc=0.5837, pr_auc=0.8309, log_loss=0.5542, f1=0.8710
2026-05-04 02:26:57 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (lightgbm, classification): auc_roc=0.5533, pr_auc=0.8511, log_loss=0.5610, f1=0.8600
2026-05-04 02:26:57 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (lightgbm, classification): auc_roc=0.6391, pr_auc=0.8762, log_loss=0.4961, f1=0.8814
2026-05-04 02:26:59 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=lightgbm target=roi_gt_1 OOF=auc_roc=0.5881, f1=0.8761, log_loss=0.5190, pr_auc=0.8524 inner_best_params={'model__learning_rate': 0.03, 'model__max_depth': 7, 'model__min_child_samples': 30, 'model__num_leaves': 31}
2026-05-04 02:26:59 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=lightgbm target=roi_gt_2 task=classification
2026-05-04 02:26:59 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=lightgbm task=classification X.shape=(1199, 92)
2026-05-04 02:27:08 | INFO    | src.models.phase4.cv | Inner CV best: family=lightgbm task=classification score=0.6298 params={'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__min_child_samples': 10, 'model__num_leaves': 15}
2026-05-04 02:27:08 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=lightgbm task=classification
2026-05-04 02:27:08 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (lightgbm, classification): auc_roc=0.6880, pr_auc=0.7605, log_loss=0.6325, f1=0.7516
2026-05-04 02:27:09 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (lightgbm, classification): auc_roc=0.5839, pr_auc=0.7127, log_loss=0.6840, f1=0.7157
2026-05-04 02:27:09 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (lightgbm, classification): auc_roc=0.6562, pr_auc=0.7827, log_loss=0.6471, f1=0.7325
2026-05-04 02:27:09 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (lightgbm, classification): auc_roc=0.6388, pr_auc=0.7517, log_loss=0.6512, f1=0.7284
2026-05-04 02:27:09 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (lightgbm, classification): auc_roc=0.5818, pr_auc=0.7214, log_loss=0.7067, f1=0.7210
2026-05-04 02:27:09 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (lightgbm, classification): auc_roc=0.5861, pr_auc=0.7169, log_loss=0.7205, f1=0.7055
2026-05-04 02:27:09 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (lightgbm, classification): auc_roc=0.6159, pr_auc=0.7150, log_loss=0.6877, f1=0.6869
2026-05-04 02:27:10 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (lightgbm, classification): auc_roc=0.6118, pr_auc=0.7231, log_loss=0.6848, f1=0.7129
2026-05-04 02:27:10 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (lightgbm, classification): auc_roc=0.5544, pr_auc=0.6955, log_loss=0.7032, f1=0.6965
2026-05-04 02:27:10 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (lightgbm, classification): auc_roc=0.6179, pr_auc=0.7397, log_loss=0.6719, f1=0.7070
2026-05-04 02:27:10 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (lightgbm, classification): auc_roc=0.5992, pr_auc=0.7292, log_loss=0.6867, f1=0.7097
2026-05-04 02:27:10 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (lightgbm, classification): auc_roc=0.5767, pr_auc=0.7212, log_loss=0.7096, f1=0.6689
2026-05-04 02:27:10 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (lightgbm, classification): auc_roc=0.5571, pr_auc=0.7265, log_loss=0.7163, f1=0.6364
2026-05-04 02:27:11 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (lightgbm, classification): auc_roc=0.5948, pr_auc=0.7323, log_loss=0.6757, f1=0.7222
2026-05-04 02:27:11 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (lightgbm, classification): auc_roc=0.5670, pr_auc=0.6893, log_loss=0.7189, f1=0.6857
2026-05-04 02:27:13 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=lightgbm target=roi_gt_2 OOF=auc_roc=0.6155, f1=0.7203, log_loss=0.6629, pr_auc=0.7318 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__min_child_samples': 10, 'model__num_leaves': 15}
2026-05-04 02:27:13 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=standalone_positive_union_lightgbm dir=runs/phase_4/20260504_0226_standalone_positive_union_lightgbm
