2026-05-03 23:50:37 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (random_forest, classification): auc_roc=0.6034, pr_auc=0.8490, log_loss=0.4817, f1=0.8940
2026-05-03 23:50:39 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (random_forest, classification): auc_roc=0.6344, pr_auc=0.8807, log_loss=0.4731, f1=0.8961
2026-05-03 23:50:40 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (random_forest, classification): auc_roc=0.6460, pr_auc=0.8861, log_loss=0.4631, f1=0.8961
2026-05-03 23:50:43 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=random_forest target=roi_gt_1 OOF=auc_roc=0.6159, f1=0.8937, log_loss=0.4756, pr_auc=0.8661 inner_best_params={'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}
2026-05-03 23:50:43 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=random_forest target=roi_gt_2 task=classification
2026-05-03 23:50:43 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=random_forest task=classification X.shape=(1199, 92)
2026-05-03 23:50:55 | INFO    | src.models.phase4.cv | Inner CV best: family=random_forest task=classification score=0.6327 params={'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}
2026-05-03 23:50:55 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=random_forest task=classification
2026-05-03 23:50:56 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (random_forest, classification): auc_roc=0.6540, pr_auc=0.7647, log_loss=0.6474, f1=0.7447
2026-05-03 23:50:57 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (random_forest, classification): auc_roc=0.6150, pr_auc=0.7311, log_loss=0.6520, f1=0.7365
2026-05-03 23:50:58 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (random_forest, classification): auc_roc=0.6543, pr_auc=0.7742, log_loss=0.6436, f1=0.7403
2026-05-03 23:50:59 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (random_forest, classification): auc_roc=0.6446, pr_auc=0.7501, log_loss=0.6472, f1=0.7368
2026-05-03 23:51:00 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (random_forest, classification): auc_roc=0.5956, pr_auc=0.7374, log_loss=0.6575, f1=0.7112
2026-05-03 23:51:01 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (random_forest, classification): auc_roc=0.5847, pr_auc=0.7345, log_loss=0.6595, f1=0.6967
2026-05-03 23:51:02 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (random_forest, classification): auc_roc=0.6351, pr_auc=0.7391, log_loss=0.6505, f1=0.7455
2026-05-03 23:51:03 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (random_forest, classification): auc_roc=0.6437, pr_auc=0.7523, log_loss=0.6440, f1=0.7339
2026-05-03 23:51:04 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (random_forest, classification): auc_roc=0.5645, pr_auc=0.7021, log_loss=0.6601, f1=0.7202
2026-05-03 23:51:05 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (random_forest, classification): auc_roc=0.6518, pr_auc=0.7657, log_loss=0.6498, f1=0.7523
2026-05-03 23:51:06 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (random_forest, classification): auc_roc=0.6057, pr_auc=0.7422, log_loss=0.6592, f1=0.7091
2026-05-03 23:51:07 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (random_forest, classification): auc_roc=0.5844, pr_auc=0.7374, log_loss=0.6592, f1=0.7012
2026-05-03 23:51:08 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (random_forest, classification): auc_roc=0.6367, pr_auc=0.7739, log_loss=0.6475, f1=0.7222
2026-05-03 23:51:09 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (random_forest, classification): auc_roc=0.6701, pr_auc=0.7850, log_loss=0.6396, f1=0.7714
2026-05-03 23:51:10 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (random_forest, classification): auc_roc=0.5935, pr_auc=0.7086, log_loss=0.6555, f1=0.7432
2026-05-03 23:51:13 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=random_forest target=roi_gt_2 OOF=auc_roc=0.6251, f1=0.7353, log_loss=0.6507, pr_auc=0.7446 inner_best_params={'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}
2026-05-03 23:51:13 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=standalone_positive_union_random_forest dir=runs/phase_4/20260503_2347_standalone_positive_union_random_forest
