2026-05-04 14:47:08 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (random_forest, classification): auc_roc=0.6476, pr_auc=0.8606, log_loss=0.5825, f1=0.8646
2026-05-04 14:47:09 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (random_forest, classification): auc_roc=0.5863, pr_auc=0.8333, log_loss=0.6085, f1=0.8302
2026-05-04 14:47:09 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (random_forest, classification): auc_roc=0.5613, pr_auc=0.8291, log_loss=0.6132, f1=0.8026
2026-05-04 14:47:12 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=random_forest target=roi_gt_1 OOF=auc_roc=0.6002, f1=0.8391, log_loss=0.6033, pr_auc=0.8435 inner_best_params={'model__max_depth': 6, 'model__min_samples_leaf': 20, 'model__n_estimators': 200}
2026-05-04 14:47:12 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five_mpnet family=random_forest target=roi_gt_2 task=classification
2026-05-04 14:47:12 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=random_forest task=classification X.shape=(1460, 127)
2026-05-04 14:47:31 | INFO    | src.models.phase4.cv | Inner CV best: family=random_forest task=classification score=0.5957 params={'model__max_depth': 12, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}
2026-05-04 14:47:31 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=random_forest task=classification
2026-05-04 14:47:33 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (random_forest, classification): auc_roc=0.5913, pr_auc=0.7135, log_loss=0.6572, f1=0.7224
2026-05-04 14:47:35 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (random_forest, classification): auc_roc=0.6053, pr_auc=0.7108, log_loss=0.6546, f1=0.7411
2026-05-04 14:47:37 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (random_forest, classification): auc_roc=0.5261, pr_auc=0.6708, log_loss=0.6761, f1=0.6934
2026-05-04 14:47:39 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (random_forest, classification): auc_roc=0.6539, pr_auc=0.7242, log_loss=0.6444, f1=0.7775
2026-05-04 14:47:41 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (random_forest, classification): auc_roc=0.6020, pr_auc=0.7265, log_loss=0.6544, f1=0.7192
2026-05-04 14:47:42 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (random_forest, classification): auc_roc=0.5619, pr_auc=0.6955, log_loss=0.6660, f1=0.7260
2026-05-04 14:47:44 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (random_forest, classification): auc_roc=0.6365, pr_auc=0.7308, log_loss=0.6501, f1=0.7575
2026-05-04 14:47:46 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (random_forest, classification): auc_roc=0.6089, pr_auc=0.6985, log_loss=0.6510, f1=0.7482
2026-05-04 14:47:48 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (random_forest, classification): auc_roc=0.5501, pr_auc=0.6910, log_loss=0.6662, f1=0.7036
2026-05-04 14:47:50 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (random_forest, classification): auc_roc=0.5880, pr_auc=0.7195, log_loss=0.6565, f1=0.7171
2026-05-04 14:47:52 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (random_forest, classification): auc_roc=0.6360, pr_auc=0.7308, log_loss=0.6486, f1=0.7264
2026-05-04 14:47:54 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (random_forest, classification): auc_roc=0.6196, pr_auc=0.7226, log_loss=0.6547, f1=0.7446
2026-05-04 14:47:56 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (random_forest, classification): auc_roc=0.6301, pr_auc=0.7270, log_loss=0.6474, f1=0.7406
2026-05-04 14:47:58 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (random_forest, classification): auc_roc=0.6360, pr_auc=0.7292, log_loss=0.6497, f1=0.7570
2026-05-04 14:48:00 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (random_forest, classification): auc_roc=0.5008, pr_auc=0.6449, log_loss=0.6858, f1=0.7033
2026-05-04 14:48:04 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=random_forest target=roi_gt_2 OOF=auc_roc=0.5983, f1=0.7389, log_loss=0.6563, pr_auc=0.7073 inner_best_params={'model__max_depth': 12, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}
2026-05-04 14:48:05 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=all_five_mpnet_random_forest dir=runs/phase_4_v2/20260504_1440_all_five_mpnet_random_forest
