2026-05-04 01:48:17 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.5611, pr_auc=0.8227, log_loss=0.6369, f1=0.7658
2026-05-04 01:48:18 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.5725, pr_auc=0.8441, log_loss=0.6405, f1=0.7543
2026-05-04 01:48:18 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.6463, pr_auc=0.8739, log_loss=0.6118, f1=0.7989
2026-05-04 01:48:20 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=histgb target=roi_gt_1 OOF=auc_roc=0.5960, f1=0.7751, log_loss=0.6392, pr_auc=0.8517 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__min_samples_leaf': 40}
2026-05-04 01:48:20 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=histgb target=roi_gt_2 task=classification
2026-05-04 01:48:20 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=histgb task=classification X.shape=(1199, 92)
2026-05-04 01:48:25 | INFO    | src.models.phase4.cv | Inner CV best: family=histgb task=classification score=0.6317 params={'model__learning_rate': 0.02, 'model__max_depth': 4, 'model__min_samples_leaf': 20}
2026-05-04 01:48:25 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=histgb task=classification
2026-05-04 01:48:26 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (histgb, classification): auc_roc=0.6142, pr_auc=0.7068, log_loss=0.6767, f1=0.5874
2026-05-04 01:48:26 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (histgb, classification): auc_roc=0.6355, pr_auc=0.7579, log_loss=0.6452, f1=0.6910
2026-05-04 01:48:27 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (histgb, classification): auc_roc=0.6357, pr_auc=0.7703, log_loss=0.6651, f1=0.6423
2026-05-04 01:48:27 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (histgb, classification): auc_roc=0.6581, pr_auc=0.7545, log_loss=0.6644, f1=0.6715
2026-05-04 01:48:28 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (histgb, classification): auc_roc=0.6148, pr_auc=0.7499, log_loss=0.6618, f1=0.6644
2026-05-04 01:48:29 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (histgb, classification): auc_roc=0.6005, pr_auc=0.7447, log_loss=0.6667, f1=0.6735
2026-05-04 01:48:29 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (histgb, classification): auc_roc=0.5606, pr_auc=0.7143, log_loss=0.6809, f1=0.5964
2026-05-04 01:48:29 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (histgb, classification): auc_roc=0.6506, pr_auc=0.7539, log_loss=0.6447, f1=0.6803
2026-05-04 01:48:30 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (histgb, classification): auc_roc=0.5761, pr_auc=0.7313, log_loss=0.6711, f1=0.5912
2026-05-04 01:48:30 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (histgb, classification): auc_roc=0.6308, pr_auc=0.7469, log_loss=0.6601, f1=0.6481
2026-05-04 01:48:31 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (histgb, classification): auc_roc=0.5868, pr_auc=0.7390, log_loss=0.6655, f1=0.6823
2026-05-04 01:48:31 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (histgb, classification): auc_roc=0.5863, pr_auc=0.7152, log_loss=0.6767, f1=0.6341
2026-05-04 01:48:32 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.5724, pr_auc=0.7168, log_loss=0.6762, f1=0.5861
2026-05-04 01:48:32 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.6524, pr_auc=0.7782, log_loss=0.6419, f1=0.6959
2026-05-04 01:48:32 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.5616, pr_auc=0.7099, log_loss=0.6795, f1=0.6159
2026-05-04 01:48:36 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=histgb target=roi_gt_2 OOF=auc_roc=0.6287, f1=0.6607, log_loss=0.6600, pr_auc=0.7494 inner_best_params={'model__learning_rate': 0.02, 'model__max_depth': 4, 'model__min_samples_leaf': 20}
2026-05-04 01:48:36 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=standalone_positive_union_mpnet_histgb dir=runs/phase_4/20260504_0148_standalone_positive_union_mpnet_histgb
