2026-05-04 02:22:13 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.5826, pr_auc=0.8274, log_loss=0.6702, f1=0.7030
2026-05-04 02:22:13 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.5504, pr_auc=0.8361, log_loss=0.6633, f1=0.7062
2026-05-04 02:22:14 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.5627, pr_auc=0.8254, log_loss=0.6787, f1=0.6988
2026-05-04 02:22:15 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=histgb target=roi_gt_1 OOF=auc_roc=0.5895, f1=0.7319, log_loss=0.6602, pr_auc=0.8401 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__min_samples_leaf': 20}
2026-05-04 02:22:15 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=histgb target=roi_gt_2 task=classification
2026-05-04 02:22:15 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=histgb task=classification X.shape=(1199, 92)
2026-05-04 02:22:18 | INFO    | src.models.phase4.cv | Inner CV best: family=histgb task=classification score=0.5983 params={'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__min_samples_leaf': 40}
2026-05-04 02:22:18 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=histgb task=classification
2026-05-04 02:22:18 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (histgb, classification): auc_roc=0.6271, pr_auc=0.7215, log_loss=0.6737, f1=0.6194
2026-05-04 02:22:18 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (histgb, classification): auc_roc=0.5620, pr_auc=0.7069, log_loss=0.6746, f1=0.6416
2026-05-04 02:22:18 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (histgb, classification): auc_roc=0.5915, pr_auc=0.7333, log_loss=0.6671, f1=0.6438
2026-05-04 02:22:19 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (histgb, classification): auc_roc=0.6000, pr_auc=0.7159, log_loss=0.6772, f1=0.5865
2026-05-04 02:22:19 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (histgb, classification): auc_roc=0.6110, pr_auc=0.7544, log_loss=0.6706, f1=0.6779
2026-05-04 02:22:19 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (histgb, classification): auc_roc=0.5734, pr_auc=0.7430, log_loss=0.6710, f1=0.6532
2026-05-04 02:22:19 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (histgb, classification): auc_roc=0.6380, pr_auc=0.7435, log_loss=0.6659, f1=0.6762
2026-05-04 02:22:20 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (histgb, classification): auc_roc=0.6082, pr_auc=0.7402, log_loss=0.6545, f1=0.6839
2026-05-04 02:22:20 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (histgb, classification): auc_roc=0.5748, pr_auc=0.7387, log_loss=0.6732, f1=0.6483
2026-05-04 02:22:20 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (histgb, classification): auc_roc=0.5932, pr_auc=0.7402, log_loss=0.6703, f1=0.6268
2026-05-04 02:22:20 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (histgb, classification): auc_roc=0.6036, pr_auc=0.7340, log_loss=0.6714, f1=0.6456
2026-05-04 02:22:20 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (histgb, classification): auc_roc=0.6109, pr_auc=0.7400, log_loss=0.6748, f1=0.6426
2026-05-04 02:22:20 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (histgb, classification): auc_roc=0.5770, pr_auc=0.6952, log_loss=0.6758, f1=0.6483
2026-05-04 02:22:21 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (histgb, classification): auc_roc=0.6224, pr_auc=0.7552, log_loss=0.6510, f1=0.6974
2026-05-04 02:22:21 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (histgb, classification): auc_roc=0.5856, pr_auc=0.7065, log_loss=0.6734, f1=0.6507
2026-05-04 02:22:23 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=histgb target=roi_gt_2 OOF=auc_roc=0.6093, f1=0.6556, log_loss=0.6637, pr_auc=0.7345 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__min_samples_leaf': 40}
2026-05-04 02:22:23 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=standalone_positive_union_histgb dir=runs/phase_4/20260504_0222_standalone_positive_union_histgb
