2026-05-04 02:46:54 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (xgboost, classification): auc_roc=0.6019, pr_auc=0.8605, log_loss=0.5522, f1=0.8418
2026-05-04 02:46:55 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (xgboost, classification): auc_roc=0.6342, pr_auc=0.8804, log_loss=0.5416, f1=0.8376
2026-05-04 02:46:55 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (xgboost, classification): auc_roc=0.5482, pr_auc=0.8314, log_loss=0.5996, f1=0.7819
2026-05-04 02:46:56 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (xgboost, classification): auc_roc=0.6017, pr_auc=0.8781, log_loss=0.5473, f1=0.8479
2026-05-04 02:46:59 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=xgboost target=roi_gt_1 OOF=auc_roc=0.6104, f1=0.8613, log_loss=0.5446, pr_auc=0.8608 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__reg_lambda': 1.0}
2026-05-04 02:46:59 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=xgboost target=roi_gt_2 task=classification
2026-05-04 02:46:59 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=xgboost task=classification X.shape=(1199, 92)
2026-05-04 02:47:20 | INFO    | src.models.phase4.cv | Inner CV best: family=xgboost task=classification score=0.6473 params={'model__learning_rate': 0.01, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__reg_lambda': 1.0}
2026-05-04 02:47:20 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=xgboost task=classification
2026-05-04 02:47:21 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (xgboost, classification): auc_roc=0.6956, pr_auc=0.7696, log_loss=0.6296, f1=0.7383
2026-05-04 02:47:22 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (xgboost, classification): auc_roc=0.6177, pr_auc=0.7375, log_loss=0.6544, f1=0.7063
2026-05-04 02:47:23 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (xgboost, classification): auc_roc=0.6524, pr_auc=0.7897, log_loss=0.6312, f1=0.7203
2026-05-04 02:47:24 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (xgboost, classification): auc_roc=0.6463, pr_auc=0.7666, log_loss=0.6303, f1=0.6928
2026-05-04 02:47:25 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (xgboost, classification): auc_roc=0.6245, pr_auc=0.7586, log_loss=0.6548, f1=0.6777
2026-05-04 02:47:26 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (xgboost, classification): auc_roc=0.6226, pr_auc=0.7429, log_loss=0.6539, f1=0.7055
2026-05-04 02:47:27 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (xgboost, classification): auc_roc=0.6392, pr_auc=0.7634, log_loss=0.6434, f1=0.7143
2026-05-04 02:47:28 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (xgboost, classification): auc_roc=0.6902, pr_auc=0.7766, log_loss=0.6149, f1=0.7267
2026-05-04 02:47:29 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (xgboost, classification): auc_roc=0.5980, pr_auc=0.7392, log_loss=0.6560, f1=0.6885
2026-05-04 02:47:30 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (xgboost, classification): auc_roc=0.6375, pr_auc=0.7573, log_loss=0.6434, f1=0.6971
2026-05-04 02:47:31 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (xgboost, classification): auc_roc=0.6498, pr_auc=0.7787, log_loss=0.6339, f1=0.7261
2026-05-04 02:47:32 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (xgboost, classification): auc_roc=0.6112, pr_auc=0.7615, log_loss=0.6553, f1=0.7013
2026-05-04 02:47:33 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (xgboost, classification): auc_roc=0.6196, pr_auc=0.7519, log_loss=0.6514, f1=0.6755
2026-05-04 02:47:34 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (xgboost, classification): auc_roc=0.6469, pr_auc=0.7757, log_loss=0.6300, f1=0.7179
2026-05-04 02:47:35 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (xgboost, classification): auc_roc=0.5801, pr_auc=0.7044, log_loss=0.6745, f1=0.6689
2026-05-04 02:47:38 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=xgboost target=roi_gt_2 OOF=auc_roc=0.6520, f1=0.7214, log_loss=0.6341, pr_auc=0.7688 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__reg_lambda': 1.0}
2026-05-04 02:47:38 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=standalone_positive_union_mpnet_xgboost dir=runs/phase_4/20260504_0245_standalone_positive_union_mpnet_xgboost
