2026-05-04 14:59:42 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (svm_rbf, classification): auc_roc=0.6132, pr_auc=0.8455, f1=0.7476
2026-05-04 14:59:42 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (svm_rbf, classification): auc_roc=0.5902, pr_auc=0.8468, f1=0.7032
2026-05-04 14:59:44 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=svm_rbf target=roi_gt_1 OOF=auc_roc=0.6152, f1=0.7464, pr_auc=0.8478 inner_best_params={'model__C': 10, 'model__gamma': 0.003}
2026-05-04 14:59:44 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=svm_rbf target=roi_gt_2 task=classification
2026-05-04 14:59:44 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=svm_rbf task=classification X.shape=(1460, 92)
2026-05-04 14:59:46 | INFO    | src.models.phase4.cv | Inner CV best: family=svm_rbf task=classification score=0.5936 params={'model__C': 3, 'model__gamma': 0.01}
2026-05-04 14:59:46 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=svm_rbf task=classification
2026-05-04 14:59:46 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (svm_rbf, classification): auc_roc=0.5857, pr_auc=0.6545, f1=0.6205
2026-05-04 14:59:46 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (svm_rbf, classification): auc_roc=0.5746, pr_auc=0.7011, f1=0.6167
2026-05-04 14:59:46 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (svm_rbf, classification): auc_roc=0.5555, pr_auc=0.6882, f1=0.6361
2026-05-04 14:59:47 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (svm_rbf, classification): auc_roc=0.6693, pr_auc=0.7699, f1=0.7052
2026-05-04 14:59:47 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (svm_rbf, classification): auc_roc=0.5831, pr_auc=0.6826, f1=0.6084
2026-05-04 14:59:47 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (svm_rbf, classification): auc_roc=0.5665, pr_auc=0.6790, f1=0.6163
2026-05-04 14:59:47 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (svm_rbf, classification): auc_roc=0.6405, pr_auc=0.7361, f1=0.6947
2026-05-04 14:59:47 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (svm_rbf, classification): auc_roc=0.5942, pr_auc=0.7067, f1=0.6316
2026-05-04 14:59:47 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (svm_rbf, classification): auc_roc=0.5765, pr_auc=0.6758, f1=0.6590
2026-05-04 14:59:47 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (svm_rbf, classification): auc_roc=0.6023, pr_auc=0.7095, f1=0.6177
2026-05-04 14:59:47 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (svm_rbf, classification): auc_roc=0.6039, pr_auc=0.6982, f1=0.6609
2026-05-04 14:59:47 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (svm_rbf, classification): auc_roc=0.5733, pr_auc=0.6473, f1=0.6534
2026-05-04 14:59:48 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (svm_rbf, classification): auc_roc=0.6058, pr_auc=0.7113, f1=0.6337
2026-05-04 14:59:48 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (svm_rbf, classification): auc_roc=0.6556, pr_auc=0.7659, f1=0.6854
2026-05-04 14:59:48 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (svm_rbf, classification): auc_roc=0.5564, pr_auc=0.6926, f1=0.6171
2026-05-04 14:59:50 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=svm_rbf target=roi_gt_2 OOF=auc_roc=0.6010, f1=0.6447, pr_auc=0.7019 inner_best_params={'model__C': 3, 'model__gamma': 0.01}
2026-05-04 14:59:50 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=standalone_positive_union_mpnet_svm_rbf dir=runs/phase_4_v2/20260504_1459_standalone_positive_union_mpnet_svm_rbf
